objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt,winddir
wBBByNRNKD,64,64,64,54,69,26.61,0,0.0,21June2024,2024-08-09 17:59:00,25,2024-08-09T23:59:00Z,2024-08-10T00:00:01.771Z,2024-08-10T00:00:01.771Z,
ZitUSLi8Tl,64,64,64,54,71,26.6,0,0.0,21June2024,2024-08-09 18:04:00,23,2024-08-10T00:04:00Z,2024-08-10T00:05:02.325Z,2024-08-10T00:05:02.325Z,
rY5sHRTra0,63,63,63,54,72,26.6,0,0.0,21June2024,2024-08-09 18:09:00,26,2024-08-10T00:09:00Z,2024-08-10T00:10:01.495Z,2024-08-10T00:10:01.495Z,
6B23MNfSrq,63,63,63,54,73,26.6,0,0.0,21June2024,2024-08-09 18:14:00,26,2024-08-10T00:14:00Z,2024-08-10T00:15:01.724Z,2024-08-10T00:15:01.724Z,
JzNaQihThI,63,63,63,54,73,26.61,0,0.0,21June2024,2024-08-09 18:19:00,23,2024-08-10T00:19:00Z,2024-08-10T00:20:01.565Z,2024-08-10T00:20:01.565Z,
osBCGXLuih,63,63,63,54,73,26.61,0,0.0,21June2024,2024-08-09 18:24:00,19,2024-08-10T00:24:00Z,2024-08-10T00:25:01.483Z,2024-08-10T00:25:01.483Z,
IOQD5GIeEq,63,63,63,54,73,26.59,0,0.0,21June2024,2024-08-09 18:29:00,16,2024-08-10T00:29:00Z,2024-08-10T00:30:02.132Z,2024-08-10T00:30:02.132Z,
K5YyXEEU8v,63,63,63,54,73,26.59,0,0.0,21June2024,2024-08-09 18:34:00,14,2024-08-10T00:34:00Z,2024-08-10T00:35:01.965Z,2024-08-10T00:35:01.965Z,
4Kr5XVuSs3,63,63,63,54,74,26.59,0,0.0,21June2024,2024-08-09 18:39:00,12,2024-08-10T00:39:00Z,2024-08-10T00:40:01.397Z,2024-08-10T00:40:01.397Z,
j2uaAWWIyX,63,63,63,55,75,26.59,0,0.0,21June2024,2024-08-09 18:44:00,12,2024-08-10T00:44:00Z,2024-08-10T00:45:02.138Z,2024-08-10T00:45:02.138Z,
PlDLGXDXHz,62,62,62,54,75,26.59,0,0.0,21June2024,2024-08-09 18:49:00,12,2024-08-10T00:49:00Z,2024-08-10T00:50:02.024Z,2024-08-10T00:50:02.024Z,
BNuujgETS9,62,62,62,54,76,26.6,0,0.0,21June2024,2024-08-09 18:54:00,5,2024-08-10T00:54:00Z,2024-08-10T00:55:01.919Z,2024-08-10T00:55:01.919Z,
aKSYXSIAxF,62,62,62,54,76,26.59,1,0.01,21June2024,2024-08-09 18:59:00,7,2024-08-10T00:59:00Z,2024-08-10T01:00:01.622Z,2024-08-10T01:00:01.622Z,135.0
