objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
xajVcNyhyf,92,86,92,22,8,26.5,112.0,2,0,21June2024,2024-08-02 17:59:00,165,2024-08-02T23:59:00Z,2024-08-03T00:00:01.826Z,2024-08-03T00:00:01.826Z
P9ZNvmsBso,92,87,92,19,7,26.5,158.0,2,0,21June2024,2024-08-02 18:04:00,213,2024-08-03T00:04:00Z,2024-08-03T00:05:01.680Z,2024-08-03T00:05:01.680Z
N4zjpurw1a,93,87,93,20,7,26.5,180.0,2,0,21June2024,2024-08-02 18:09:00,207,2024-08-03T00:09:00Z,2024-08-03T00:10:01.913Z,2024-08-03T00:10:01.913Z
QwZcJU9cxm,93,88,93,30,11,26.5,158.0,2,0,21June2024,2024-08-02 18:14:00,190,2024-08-03T00:14:00Z,2024-08-03T00:15:01.888Z,2024-08-03T00:15:01.888Z
BgslzJHhVG,92,87,92,25,9,26.5,158.0,2,0,21June2024,2024-08-02 18:19:00,181,2024-08-03T00:19:00Z,2024-08-03T00:20:01.457Z,2024-08-03T00:20:01.457Z
822SGpnthO,92,86,92,25,9,26.5,135.0,3,0,21June2024,2024-08-02 18:24:00,174,2024-08-03T00:24:00Z,2024-08-03T00:25:01.423Z,2024-08-03T00:25:01.423Z
EAOufhG6mG,91,86,91,27,10,26.51,135.0,3,0,21June2024,2024-08-02 18:29:00,125,2024-08-03T00:29:00Z,2024-08-03T00:30:02.121Z,2024-08-03T00:30:02.121Z
dCNXk4ZWON,89,85,89,32,13,26.51,135.0,4,0,21June2024,2024-08-02 18:34:00,91,2024-08-03T00:34:00Z,2024-08-03T00:35:01.863Z,2024-08-03T00:35:01.863Z
r6NHAtzRGp,89,85,89,35,15,26.51,158.0,3,0,21June2024,2024-08-02 18:39:00,77,2024-08-03T00:39:00Z,2024-08-03T00:40:02.299Z,2024-08-03T00:40:02.299Z
8LTyVrOwGB,87,84,87,32,14,26.52,135.0,3,0,21June2024,2024-08-02 18:44:00,66,2024-08-03T00:44:00Z,2024-08-03T00:45:02.093Z,2024-08-03T00:45:02.093Z
b357Ah2eVu,86,83,86,36,17,26.52,135.0,4,0,21June2024,2024-08-02 18:49:00,76,2024-08-03T00:49:00Z,2024-08-03T00:50:02.315Z,2024-08-03T00:50:02.315Z
L23FFLN9TV,86,83,86,35,16,26.52,158.0,5,0,21June2024,2024-08-02 18:54:00,123,2024-08-03T00:54:00Z,2024-08-03T00:55:02.337Z,2024-08-03T00:55:02.337Z
0VVopHpoPa,86,83,86,35,16,26.52,158.0,4,0,21June2024,2024-08-02 18:59:00,137,2024-08-03T00:59:00Z,2024-08-03T01:00:01.919Z,2024-08-03T01:00:01.919Z
uUpzNcB3LE,86,82,86,33,15,26.52,112.0,3,0,21June2024,2024-08-02 19:04:00,141,2024-08-03T01:04:00Z,2024-08-03T01:05:01.797Z,2024-08-03T01:05:01.797Z
Y8Vph65ocr,86,82,86,33,15,26.53,45.0,4,0,21June2024,2024-08-02 19:09:00,121,2024-08-03T01:09:00Z,2024-08-03T01:10:02.020Z,2024-08-03T01:10:02.020Z
6I6m5Com7T,86,82,86,34,16,26.52,135.0,5,0,21June2024,2024-08-02 19:14:00,102,2024-08-03T01:14:00Z,2024-08-03T01:15:02.104Z,2024-08-03T01:15:02.104Z
lE3wcCItP3,85,82,85,33,15,26.52,135.0,2,0,21June2024,2024-08-02 19:19:00,92,2024-08-03T01:19:00Z,2024-08-03T01:20:01.688Z,2024-08-03T01:20:01.688Z
wm2zPLBsJM,85,82,85,32,15,26.53,158.0,4,0,21June2024,2024-08-02 19:24:00,83,2024-08-03T01:24:00Z,2024-08-03T01:25:02.252Z,2024-08-03T01:25:02.252Z
CntvLMA8Me,85,82,85,34,16,26.54,135.0,2,0,21June2024,2024-08-02 19:29:00,74,2024-08-03T01:29:00Z,2024-08-03T01:30:01.763Z,2024-08-03T01:30:01.763Z
c1rdriu6Le,85,82,85,32,15,26.54,135.0,3,0,21June2024,2024-08-02 19:34:00,42,2024-08-03T01:34:00Z,2024-08-03T01:35:02.332Z,2024-08-03T01:35:02.332Z
oia8sT4BJj,84,81,84,33,16,26.55,135.0,5,0,21June2024,2024-08-02 19:39:00,30,2024-08-03T01:39:00Z,2024-08-03T01:40:01.912Z,2024-08-03T01:40:01.912Z
iMAhMfhQaG,83,81,83,33,16,26.56,135.0,3,0,21June2024,2024-08-02 19:44:00,23,2024-08-03T01:44:00Z,2024-08-03T01:45:02.132Z,2024-08-03T01:45:02.132Z
