objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
fe0vtzniCq,72,71,72,37,27,26.45,112.0,2,0.01,21June2024,2024-08-14 17:59:00,63,2024-08-14T23:59:00Z,2024-08-15T00:00:02.341Z,2024-08-15T00:00:02.341Z
AyxSV6A1aD,72,71,72,37,28,26.46,112.0,1,0.01,21June2024,2024-08-14 18:04:00,60,2024-08-15T00:04:00Z,2024-08-15T00:05:01.739Z,2024-08-15T00:05:01.739Z
foAHVVqY7n,72,70,72,37,28,26.46,,0,0.01,21June2024,2024-08-14 18:09:00,42,2024-08-15T00:09:00Z,2024-08-15T00:10:02.018Z,2024-08-15T00:10:02.018Z
MetgftFhmm,72,70,72,36,27,26.46,292.0,1,0.01,21June2024,2024-08-14 18:14:00,33,2024-08-15T00:14:00Z,2024-08-15T00:15:01.929Z,2024-08-15T00:15:01.929Z
RWQXjwQaoY,72,70,72,38,29,26.46,292.0,1,0.0,21June2024,2024-08-14 18:19:00,21,2024-08-15T00:19:00Z,2024-08-15T00:20:02.407Z,2024-08-15T00:20:02.407Z
Hcgsuic1Th,72,70,72,38,29,26.47,22.0,3,0.0,21June2024,2024-08-14 18:24:00,25,2024-08-15T00:24:00Z,2024-08-15T00:25:02.050Z,2024-08-15T00:25:02.050Z
WVWE3TYqku,73,71,73,37,27,26.47,315.0,4,0.0,21June2024,2024-08-14 18:29:00,28,2024-08-15T00:29:00Z,2024-08-15T00:30:01.682Z,2024-08-15T00:30:01.682Z
QxUW1pvQGJ,73,71,73,36,26,26.49,270.0,3,0.0,21June2024,2024-08-14 18:34:00,32,2024-08-15T00:34:00Z,2024-08-15T00:35:01.541Z,2024-08-15T00:35:01.541Z
urZUvBuBo8,73,72,73,36,26,26.49,180.0,4,0.0,21June2024,2024-08-14 18:39:00,67,2024-08-15T00:39:00Z,2024-08-15T00:40:01.615Z,2024-08-15T00:40:01.615Z
XTJLItr4mb,74,72,74,38,27,26.5,248.0,6,0.0,21June2024,2024-08-14 18:44:00,71,2024-08-15T00:44:00Z,2024-08-15T00:45:02.057Z,2024-08-15T00:45:02.057Z
0YGsXYWwEw,74,72,74,37,26,26.5,270.0,11,0.0,21June2024,2024-08-14 18:49:00,60,2024-08-15T00:49:00Z,2024-08-15T00:50:02.020Z,2024-08-15T00:50:02.020Z
9mYV94or5B,74,72,74,38,27,26.5,180.0,6,0.0,21June2024,2024-08-14 18:54:00,47,2024-08-15T00:54:00Z,2024-08-15T00:55:01.696Z,2024-08-15T00:55:01.696Z
fcskY1EQ1w,73,71,73,37,27,26.49,112.0,9,0.0,21June2024,2024-08-14 18:59:00,65,2024-08-15T00:59:00Z,2024-08-15T01:00:02.232Z,2024-08-15T01:00:02.232Z
TFRXgC8zh9,72,71,72,39,30,26.48,135.0,7,0.0,21June2024,2024-08-14 19:04:00,76,2024-08-15T01:04:00Z,2024-08-15T01:05:02.336Z,2024-08-15T01:05:02.336Z
5RwW1GHCOP,72,70,72,39,30,26.48,202.0,7,0.0,21June2024,2024-08-14 19:09:00,88,2024-08-15T01:09:00Z,2024-08-15T01:10:01.682Z,2024-08-15T01:10:01.682Z
