objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt,winddir
fUxPRMM4nL,88,83.0,88,22.0,9.0,26.27,0,0,21June2024,2024-07-30 17:59:00,107,2024-07-30T23:59:00Z,2024-07-31T00:00:02.664Z,2024-07-31T00:00:02.664Z,
dDinyJTs6x,87,83.0,87,24.0,10.0,26.27,1,0,21June2024,2024-07-30 18:04:00,88,2024-07-31T00:04:00Z,2024-07-31T00:05:01.887Z,2024-07-31T00:05:01.887Z,135.0
PNbZMzDEZu,86,83.0,86,28.0,12.0,26.26,1,0,21June2024,2024-07-30 18:09:00,81,2024-07-31T00:09:00Z,2024-07-31T00:10:01.605Z,2024-07-31T00:10:01.605Z,135.0
JhxlgYuYms,86,83.0,86,31.0,14.0,26.26,0,0,21June2024,2024-07-30 18:14:00,72,2024-07-31T00:14:00Z,2024-07-31T00:15:02.233Z,2024-07-31T00:15:02.233Z,
4ktlJHOqvk,86,82.0,86,28.0,12.0,26.26,0,0,21June2024,2024-07-30 18:19:00,84,2024-07-31T00:19:00Z,2024-07-31T00:20:01.955Z,2024-07-31T00:20:01.955Z,
wDr9WLjNyt,86,82.0,86,29.0,13.0,26.27,0,0,21June2024,2024-07-30 18:24:00,88,2024-07-31T00:24:00Z,2024-07-31T00:25:02.355Z,2024-07-31T00:25:02.355Z,
QsGQYSQzHk,85,82.0,85,29.0,13.0,26.27,0,0,21June2024,2024-07-30 18:29:00,84,2024-07-31T00:29:00Z,2024-07-31T00:30:01.896Z,2024-07-31T00:30:01.896Z,
qphMqeE1LQ,86,82.0,86,29.0,13.0,26.26,0,0,21June2024,2024-07-30 18:34:00,79,2024-07-31T00:34:00Z,2024-07-31T00:35:02.348Z,2024-07-31T00:35:02.348Z,
ENTll28sdW,86,83.0,86,29.0,13.0,26.26,0,0,21June2024,2024-07-30 18:39:00,91,2024-07-31T00:39:00Z,2024-07-31T00:40:01.873Z,2024-07-31T00:40:01.873Z,
YW8A7VTBrp,86,82.0,86,33.0,15.0,26.27,0,0,21June2024,2024-07-30 18:44:00,84,2024-07-31T00:44:00Z,2024-07-31T00:45:01.500Z,2024-07-31T00:45:01.500Z,
E6tHECGUSu,85,82.0,85,31.0,14.0,26.27,1,0,21June2024,2024-07-30 18:49:00,76,2024-07-31T00:49:00Z,2024-07-31T00:50:01.899Z,2024-07-31T00:50:01.899Z,135.0
XDB0zsa0vg,85,82.0,85,31.0,14.0,26.27,0,0,21June2024,2024-07-30 18:54:00,165,2024-07-31T00:54:00Z,2024-07-31T00:55:02.144Z,2024-07-31T00:55:02.144Z,
