objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
jS0xRQMNrs,89,85,89,36,15,26.43,68.0,1,0.0,21June2024,2024-08-18 17:59:00,44,2024-08-18T23:59:00Z,2024-08-19T00:00:02.018Z,2024-08-19T00:00:02.018Z
VvnQKA92bu,89,85,89,38,17,26.44,68.0,1,0.0,21June2024,2024-08-18 18:04:00,40,2024-08-19T00:04:00Z,2024-08-19T00:05:01.798Z,2024-08-19T00:05:01.798Z
zKMxp2xF9j,90,86,90,36,15,26.44,,0,0.0,21June2024,2024-08-18 18:09:00,65,2024-08-19T00:09:00Z,2024-08-19T00:10:02.200Z,2024-08-19T00:10:02.200Z
Qet1f6JSox,90,86,90,37,16,26.44,68.0,1,0.0,21June2024,2024-08-18 18:14:00,63,2024-08-19T00:14:00Z,2024-08-19T00:15:01.996Z,2024-08-19T00:15:01.996Z
X8s8RY1TR2,89,85,89,40,18,26.44,,0,0.0,21June2024,2024-08-18 18:19:00,64,2024-08-19T00:19:00Z,2024-08-19T00:20:01.520Z,2024-08-19T00:20:01.520Z
A76UrJlnBB,90,86,90,35,14,26.44,,0,0.0,21June2024,2024-08-18 18:24:00,44,2024-08-19T00:24:00Z,2024-08-19T00:25:01.722Z,2024-08-19T00:25:01.722Z
UihUAMs6Y6,90,86,90,39,17,26.44,68.0,1,0.0,21June2024,2024-08-18 18:29:00,35,2024-08-19T00:29:00Z,2024-08-19T00:30:02.380Z,2024-08-19T00:30:02.380Z
f0fDVDTJnW,89,85,89,40,18,26.44,,0,0.0,21June2024,2024-08-18 18:34:00,33,2024-08-19T00:34:00Z,2024-08-19T00:35:01.802Z,2024-08-19T00:35:01.802Z
dS29aFKDBC,89,85,89,42,20,26.44,68.0,2,0.0,21June2024,2024-08-18 18:39:00,37,2024-08-19T00:39:00Z,2024-08-19T00:40:02.332Z,2024-08-19T00:40:02.332Z
PDLKzbbcnz,87,84,87,41,20,26.44,,0,0.0,21June2024,2024-08-18 18:44:00,47,2024-08-19T00:44:00Z,2024-08-19T00:45:01.722Z,2024-08-19T00:45:01.722Z
u3RyK38W5F,88,84,88,39,18,26.44,,0,0.0,21June2024,2024-08-18 18:49:00,40,2024-08-19T00:49:00Z,2024-08-19T00:50:01.592Z,2024-08-19T00:50:01.592Z
doo80FlUYg,88,85,88,42,20,26.44,,0,0.0,21June2024,2024-08-18 18:54:00,37,2024-08-19T00:54:00Z,2024-08-19T00:55:02.240Z,2024-08-19T00:55:02.240Z
E8JlOGvHDN,87,84,87,45,23,26.45,,0,0.0,21June2024,2024-08-18 18:59:00,37,2024-08-19T00:59:00Z,2024-08-19T01:00:01.841Z,2024-08-19T01:00:01.841Z
DW3KzhP8o1,85,83,85,48,27,26.45,,0,0.0,21June2024,2024-08-18 19:04:00,37,2024-08-19T01:04:00Z,2024-08-19T01:05:02.210Z,2024-08-19T01:05:02.210Z
EfJSFHP94O,84,82,84,48,28,26.45,68.0,1,0.0,21June2024,2024-08-18 19:09:00,23,2024-08-19T01:09:00Z,2024-08-19T01:10:02.370Z,2024-08-19T01:10:02.370Z
QqnG3OLlfu,84,82,84,47,27,26.45,,0,0.0,21June2024,2024-08-18 19:14:00,14,2024-08-19T01:14:00Z,2024-08-19T01:15:02.056Z,2024-08-19T01:15:02.056Z
wcMP5eD3ti,84,82,84,48,29,26.45,,0,0.0,21June2024,2024-08-18 19:19:00,11,2024-08-19T01:19:00Z,2024-08-19T01:20:02.064Z,2024-08-19T01:20:02.064Z
DZNYfgu2yd,83,81,83,48,30,26.45,,0,0.0,21June2024,2024-08-18 19:24:00,7,2024-08-19T01:24:00Z,2024-08-19T01:25:01.656Z,2024-08-19T01:25:01.656Z
OMILLup4YG,83,81,83,49,31,26.46,,0,0.0,21June2024,2024-08-18 19:29:00,6,2024-08-19T01:29:00Z,2024-08-19T01:30:02.164Z,2024-08-19T01:30:02.164Z
MzHEtdpG0B,82,81,82,49,32,26.46,68.0,1,0.0,21June2024,2024-08-18 19:34:00,5,2024-08-19T01:34:00Z,2024-08-19T01:35:01.676Z,2024-08-19T01:35:01.676Z
Pj1mlvKSfW,82,81,82,49,32,26.46,,0,0.0,21June2024,2024-08-18 19:39:00,0,2024-08-19T01:39:00Z,2024-08-19T01:40:02.211Z,2024-08-19T01:40:02.211Z
4t1rPqPMTk,82,80,82,50,33,26.46,,0,0.0,21June2024,2024-08-18 19:44:00,0,2024-08-19T01:44:00Z,2024-08-19T01:45:01.655Z,2024-08-19T01:45:01.655Z
z9VDmXmFBe,83,81,83,48,30,26.46,,0,0.0,21June2024,2024-08-18 19:49:00,0,2024-08-19T01:49:00Z,2024-08-19T01:50:01.816Z,2024-08-19T01:50:01.816Z
QZecNaO8hZ,84,81,84,43,24,26.46,338.0,1,0.0,21June2024,2024-08-18 19:54:00,0,2024-08-19T01:54:00Z,2024-08-19T01:55:01.686Z,2024-08-19T01:55:01.686Z
