objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
nNvdq0F9ZA,86,83,86,41,21,26.51,292.0,3,0,21June2024,2024-08-05 17:59:00,151,2024-08-05T23:59:00Z,2024-08-06T00:00:02.616Z,2024-08-06T00:00:02.616Z
N66Ku54pCl,86,83,86,42,21,26.51,292.0,4,0,21June2024,2024-08-05 18:04:00,135,2024-08-06T00:04:00Z,2024-08-06T00:05:02.438Z,2024-08-06T00:05:02.438Z
xeA0u3wbxr,86,83,86,42,21,26.51,270.0,3,0,21June2024,2024-08-05 18:09:00,114,2024-08-06T00:09:00Z,2024-08-06T00:10:02.433Z,2024-08-06T00:10:02.433Z
8AxOBikI8B,87,83,87,42,21,26.51,292.0,4,0,21June2024,2024-08-05 18:14:00,114,2024-08-06T00:14:00Z,2024-08-06T00:15:01.964Z,2024-08-06T00:15:01.964Z
uMEbRUDNPY,87,83,87,41,20,26.51,270.0,6,0,21June2024,2024-08-05 18:19:00,104,2024-08-06T00:19:00Z,2024-08-06T00:20:01.425Z,2024-08-06T00:20:01.425Z
WhSJ3QwCCS,87,83,87,42,21,26.51,270.0,4,0,21June2024,2024-08-05 18:24:00,109,2024-08-06T00:24:00Z,2024-08-06T00:25:02.121Z,2024-08-06T00:25:02.121Z
nGHDeqZi13,87,83,87,42,21,26.51,292.0,2,0,21June2024,2024-08-05 18:29:00,100,2024-08-06T00:29:00Z,2024-08-06T00:30:01.732Z,2024-08-06T00:30:01.732Z
8cLICqbXeH,87,83,87,41,20,26.51,292.0,2,0,21June2024,2024-08-05 18:34:00,90,2024-08-06T00:34:00Z,2024-08-06T00:35:02.038Z,2024-08-06T00:35:02.038Z
k0Z5lGwZe5,87,83,87,41,20,26.51,292.0,3,0,21June2024,2024-08-05 18:39:00,102,2024-08-06T00:39:00Z,2024-08-06T00:40:01.662Z,2024-08-06T00:40:01.662Z
WP2GjkH9up,87,84,87,42,21,26.51,292.0,2,0,21June2024,2024-08-05 18:44:00,109,2024-08-06T00:44:00Z,2024-08-06T00:45:02.168Z,2024-08-06T00:45:02.168Z
lig5pXGnz1,87,84,87,42,21,26.51,292.0,2,0,21June2024,2024-08-05 18:49:00,118,2024-08-06T00:49:00Z,2024-08-06T00:50:02.402Z,2024-08-06T00:50:02.402Z
2wCTMsK6Dj,87,83,87,42,21,26.51,338.0,3,0,21June2024,2024-08-05 18:54:00,114,2024-08-06T00:54:00Z,2024-08-06T00:55:01.887Z,2024-08-06T00:55:01.887Z
iEvBY6HEHV,87,83,87,42,21,26.51,338.0,2,0,21June2024,2024-08-05 18:59:00,95,2024-08-06T00:59:00Z,2024-08-06T01:00:02.741Z,2024-08-06T01:00:02.741Z
5pef5GsNYj,86,83,86,43,22,26.51,45.0,3,0,21June2024,2024-08-05 19:04:00,97,2024-08-06T01:04:00Z,2024-08-06T01:05:02.026Z,2024-08-06T01:05:02.026Z
YBwDtA86Wk,86,83,86,43,23,26.52,22.0,1,0,21June2024,2024-08-05 19:09:00,70,2024-08-06T01:09:00Z,2024-08-06T01:10:02.055Z,2024-08-06T01:10:02.055Z
BZrijEDDbV,85,82,85,44,24,26.53,315.0,2,0,21June2024,2024-08-05 19:14:00,65,2024-08-06T01:14:00Z,2024-08-06T01:15:01.874Z,2024-08-06T01:15:01.874Z
Hc49QU8rPG,84,82,84,43,24,26.52,22.0,3,0,21June2024,2024-08-05 19:19:00,72,2024-08-06T01:19:00Z,2024-08-06T01:20:02.188Z,2024-08-06T01:20:02.188Z
WuckhSdXtE,84,81,84,44,25,26.53,22.0,4,0,21June2024,2024-08-05 19:24:00,54,2024-08-06T01:24:00Z,2024-08-06T01:25:02.148Z,2024-08-06T01:25:02.148Z
kPO3c7Q1c5,83,81,83,46,27,26.53,338.0,3,0,21June2024,2024-08-05 19:29:00,46,2024-08-06T01:29:00Z,2024-08-06T01:30:01.728Z,2024-08-06T01:30:01.728Z
kQH0phYI6I,82,80,82,45,27,26.53,338.0,3,0,21June2024,2024-08-05 19:34:00,36,2024-08-06T01:34:00Z,2024-08-06T01:35:02.328Z,2024-08-06T01:35:02.328Z
7gcWjzonYO,82,80,82,44,27,26.54,0.0,7,0,21June2024,2024-08-05 19:39:00,28,2024-08-06T01:39:00Z,2024-08-06T01:40:01.872Z,2024-08-06T01:40:01.872Z
INFqZoG6sL,81,80,81,45,28,26.54,315.0,6,0,21June2024,2024-08-05 19:44:00,25,2024-08-06T01:44:00Z,2024-08-06T01:45:02.082Z,2024-08-06T01:45:02.082Z
9bT5L1yNhU,81,80,81,47,30,26.54,338.0,4,0,21June2024,2024-08-05 19:49:00,16,2024-08-06T01:49:00Z,2024-08-06T01:50:01.598Z,2024-08-06T01:50:01.598Z
CV3z5lUriX,80,80,80,47,31,26.55,292.0,8,0,21June2024,2024-08-05 19:54:00,12,2024-08-06T01:54:00Z,2024-08-06T01:55:02.068Z,2024-08-06T01:55:02.068Z
Vm53Z8x5Xi,80,79,80,48,32,26.55,292.0,7,0,21June2024,2024-08-05 19:59:00,9,2024-08-06T01:59:00Z,2024-08-06T02:00:01.668Z,2024-08-06T02:00:01.668Z
Rka0FE9shZ,80,79,80,48,33,26.55,292.0,5,0,21June2024,2024-08-05 20:04:00,9,2024-08-06T02:04:00Z,2024-08-06T02:05:01.686Z,2024-08-06T02:05:01.686Z
W3KE3u5Dlk,79,78,79,48,34,26.55,90.0,6,0,21June2024,2024-08-05 20:09:00,3,2024-08-06T02:09:00Z,2024-08-06T02:10:02.427Z,2024-08-06T02:10:02.427Z
BcGMmUI9vA,79,78,79,48,34,26.55,338.0,5,0,21June2024,2024-08-05 20:14:00,0,2024-08-06T02:14:00Z,2024-08-06T02:15:02.255Z,2024-08-06T02:15:02.255Z
CL8t4PGUCW,79,78,79,48,34,26.55,0.0,6,0,21June2024,2024-08-05 20:19:00,0,2024-08-06T02:19:00Z,2024-08-06T02:20:02.010Z,2024-08-06T02:20:02.010Z
9EHC7dZhG6,78,78,78,49,35,26.56,292.0,9,0,21June2024,2024-08-05 20:24:00,0,2024-08-06T02:24:00Z,2024-08-06T02:25:02.207Z,2024-08-06T02:25:02.207Z
PsojdJZyvH,78,77,78,49,36,26.57,315.0,6,0,21June2024,2024-08-05 20:29:00,0,2024-08-06T02:29:00Z,2024-08-06T02:30:01.830Z,2024-08-06T02:30:01.830Z
wGtGBCzdnp,78,77,78,49,37,26.57,315.0,8,0,21June2024,2024-08-05 20:34:00,0,2024-08-06T02:34:00Z,2024-08-06T02:35:01.705Z,2024-08-06T02:35:01.705Z
GI9GYOcSD1,77,76,77,50,39,26.57,315.0,11,0,21June2024,2024-08-05 20:39:00,0,2024-08-06T02:39:00Z,2024-08-06T02:40:02.232Z,2024-08-06T02:40:02.232Z
OjITAeJJiS,77,76,77,51,40,26.57,315.0,6,0,21June2024,2024-08-05 20:44:00,0,2024-08-06T02:44:00Z,2024-08-06T02:45:02.267Z,2024-08-06T02:45:02.267Z
JmuQi7fXab,77,76,77,51,40,26.57,315.0,8,0,21June2024,2024-08-05 20:49:00,0,2024-08-06T02:49:00Z,2024-08-06T02:50:01.971Z,2024-08-06T02:50:01.971Z
qCgZ64JlrH,77,76,77,51,41,26.57,315.0,10,0,21June2024,2024-08-05 20:54:00,0,2024-08-06T02:54:00Z,2024-08-06T02:55:01.711Z,2024-08-06T02:55:01.711Z
MKKWBg321q,76,76,76,51,41,26.57,315.0,8,0,21June2024,2024-08-05 20:59:00,0,2024-08-06T02:59:00Z,2024-08-06T03:00:03.037Z,2024-08-06T03:00:03.037Z
xZnE5562H6,76,76,76,51,41,26.58,315.0,6,0,21June2024,2024-08-05 21:04:00,0,2024-08-06T03:04:00Z,2024-08-06T03:05:02.251Z,2024-08-06T03:05:02.251Z
Egk21fMCE8,76,75,76,51,41,26.58,315.0,6,0,21June2024,2024-08-05 21:09:00,0,2024-08-06T03:09:00Z,2024-08-06T03:10:02.663Z,2024-08-06T03:10:02.663Z
7bcqOsHb7w,76,75,76,51,41,26.59,292.0,7,0,21June2024,2024-08-05 21:14:00,0,2024-08-06T03:14:00Z,2024-08-06T03:15:02.474Z,2024-08-06T03:15:02.474Z
pDN6InHmmQ,76,75,76,50,40,26.59,315.0,7,0,21June2024,2024-08-05 21:19:00,0,2024-08-06T03:19:00Z,2024-08-06T03:20:02.035Z,2024-08-06T03:20:02.035Z
Bss0VaY1Ol,76,75,76,50,40,26.59,315.0,9,0,21June2024,2024-08-05 21:24:00,0,2024-08-06T03:24:00Z,2024-08-06T03:25:01.862Z,2024-08-06T03:25:01.862Z
MQEgbT27x0,76,75,76,50,40,26.59,292.0,7,0,21June2024,2024-08-05 21:29:00,0,2024-08-06T03:29:00Z,2024-08-06T03:30:02.580Z,2024-08-06T03:30:02.580Z
TPfldz20Q7,76,75,76,49,39,26.59,292.0,6,0,21June2024,2024-08-05 21:34:00,0,2024-08-06T03:34:00Z,2024-08-06T03:35:01.986Z,2024-08-06T03:35:01.986Z
FmGQNrFXtm,76,75,76,49,38,26.59,315.0,7,0,21June2024,2024-08-05 21:39:00,0,2024-08-06T03:39:00Z,2024-08-06T03:40:01.752Z,2024-08-06T03:40:01.752Z
