objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt,winddir
bZnifosfU1,84,83,84,55,38,26.4,0,0.0,21June2024,2024-08-12 17:59:00,128,2024-08-12T23:59:00Z,2024-08-13T00:00:02.477Z,2024-08-13T00:00:02.477Z,
eOgfgdY6Ur,84,83,84,55,38,26.4,0,0.0,21June2024,2024-08-12 18:04:00,109,2024-08-13T00:04:00Z,2024-08-13T00:05:02.197Z,2024-08-13T00:05:02.197Z,
41EmV7juJI,84,83,84,55,38,26.39,1,0.0,21June2024,2024-08-12 18:09:00,91,2024-08-13T00:09:00Z,2024-08-13T00:10:01.530Z,2024-08-13T00:10:01.530Z,158.0
UUsXhgTwh6,83,83,83,56,39,26.39,1,0.0,21June2024,2024-08-12 18:14:00,81,2024-08-13T00:14:00Z,2024-08-13T00:15:02.242Z,2024-08-13T00:15:02.242Z,158.0
pu3v2AaaPh,84,83,84,56,39,26.4,0,0.0,21June2024,2024-08-12 18:19:00,87,2024-08-13T00:19:00Z,2024-08-13T00:20:02.332Z,2024-08-13T00:20:02.332Z,
S3zyM6pKr4,83,82,83,53,35,26.4,2,0.0,21June2024,2024-08-12 18:24:00,88,2024-08-13T00:24:00Z,2024-08-13T00:25:01.485Z,2024-08-13T00:25:01.485Z,135.0
FWzIsHPoKv,84,82,84,52,34,26.4,1,0.0,21June2024,2024-08-12 18:29:00,72,2024-08-13T00:29:00Z,2024-08-13T00:30:02.300Z,2024-08-13T00:30:02.300Z,45.0
FpvgZOmA0L,83,82,83,52,34,26.4,0,0.0,21June2024,2024-08-12 18:34:00,104,2024-08-13T00:34:00Z,2024-08-13T00:35:01.452Z,2024-08-13T00:35:01.452Z,
X3oPTy8IfV,83,81,83,51,34,26.4,2,0.0,21June2024,2024-08-12 18:39:00,63,2024-08-13T00:39:00Z,2024-08-13T00:40:02.040Z,2024-08-13T00:40:02.040Z,135.0
oID5Ay8iAa,82,81,82,52,35,26.4,2,0.0,21June2024,2024-08-12 18:44:00,49,2024-08-13T00:44:00Z,2024-08-13T00:45:01.804Z,2024-08-13T00:45:01.804Z,135.0
d8SAYQGGg6,80,80,80,53,39,26.41,2,0.0,21June2024,2024-08-12 18:49:00,46,2024-08-13T00:49:00Z,2024-08-13T00:50:02.389Z,2024-08-13T00:50:02.389Z,180.0
05DKQYLEmq,79,78,79,54,42,26.4,5,0.0,21June2024,2024-08-12 18:54:00,40,2024-08-13T00:54:00Z,2024-08-13T00:55:01.815Z,2024-08-13T00:55:01.815Z,90.0
KoDBb6Ge3r,78,78,78,55,44,26.4,2,0.0,21June2024,2024-08-12 18:59:00,44,2024-08-13T00:59:00Z,2024-08-13T01:00:02.471Z,2024-08-13T01:00:02.471Z,158.0
BhGUAUMTit,77,77,77,54,45,26.4,2,0.0,21June2024,2024-08-12 19:04:00,51,2024-08-13T01:04:00Z,2024-08-13T01:05:01.759Z,2024-08-13T01:05:01.759Z,68.0
LbzyctYIt6,77,76,77,54,46,26.4,1,0.0,21June2024,2024-08-12 19:09:00,35,2024-08-13T01:09:00Z,2024-08-13T01:10:01.724Z,2024-08-13T01:10:01.724Z,158.0
WJLFJqkoRF,76,75,76,54,46,26.39,2,0.0,21June2024,2024-08-12 19:14:00,25,2024-08-13T01:14:00Z,2024-08-13T01:15:02.372Z,2024-08-13T01:15:02.372Z,90.0
Y3Dx2f2jWH,76,76,76,53,45,26.39,3,0.0,21June2024,2024-08-12 19:19:00,23,2024-08-13T01:19:00Z,2024-08-13T01:20:01.823Z,2024-08-13T01:20:01.823Z,90.0
TMqfV4ZIzF,76,75,76,54,46,26.39,3,0.0,21June2024,2024-08-12 19:24:00,26,2024-08-13T01:24:00Z,2024-08-13T01:25:02.355Z,2024-08-13T01:25:02.355Z,112.0
AhrFKJnmWd,75,74,75,53,47,26.39,2,0.0,21June2024,2024-08-12 19:29:00,16,2024-08-13T01:29:00Z,2024-08-13T01:30:01.944Z,2024-08-13T01:30:01.944Z,158.0
NRh2mM13gK,74,74,74,54,49,26.39,2,0.0,21June2024,2024-08-12 19:34:00,11,2024-08-13T01:34:00Z,2024-08-13T01:35:02.213Z,2024-08-13T01:35:02.213Z,112.0
1jmCnWnhFv,74,73,74,55,51,26.39,2,0.0,21June2024,2024-08-12 19:39:00,5,2024-08-13T01:39:00Z,2024-08-13T01:40:01.719Z,2024-08-13T01:40:01.719Z,112.0
S41nvqEjUg,74,73,74,54,51,26.39,0,0.0,21June2024,2024-08-12 19:44:00,0,2024-08-13T01:44:00Z,2024-08-13T01:45:01.559Z,2024-08-13T01:45:01.559Z,
6BD0NXXEiD,73,73,73,55,52,26.4,0,0.0,21June2024,2024-08-12 19:49:00,0,2024-08-13T01:49:00Z,2024-08-13T01:50:02.291Z,2024-08-13T01:50:02.291Z,
pZfXU02IPx,73,72,73,55,53,26.4,0,0.0,21June2024,2024-08-12 19:54:00,0,2024-08-13T01:54:00Z,2024-08-13T01:55:01.915Z,2024-08-13T01:55:01.915Z,
fSWDChaKdT,73,72,73,54,52,26.4,1,0.0,21June2024,2024-08-12 19:59:00,0,2024-08-13T01:59:00Z,2024-08-13T02:00:01.544Z,2024-08-13T02:00:01.544Z,135.0
fW67prdzVb,73,72,73,55,53,26.41,0,0.0,21June2024,2024-08-12 20:04:00,0,2024-08-13T02:04:00Z,2024-08-13T02:05:01.548Z,2024-08-13T02:05:01.548Z,
CvWTkVUUtj,72,72,72,55,54,26.42,0,0.0,21June2024,2024-08-12 20:09:00,0,2024-08-13T02:09:00Z,2024-08-13T02:10:01.799Z,2024-08-13T02:10:01.799Z,
aNY0ttsoOr,72,72,72,55,55,26.43,2,0.0,21June2024,2024-08-12 20:14:00,0,2024-08-13T02:14:00Z,2024-08-13T02:15:02.205Z,2024-08-13T02:15:02.205Z,315.0
WStAOWDMq8,72,72,72,55,55,26.44,2,0.0,21June2024,2024-08-12 20:19:00,0,2024-08-13T02:19:00Z,2024-08-13T02:20:02.204Z,2024-08-13T02:20:02.204Z,180.0
0k0OOc1Aez,72,71,72,55,55,26.45,3,0.0,21June2024,2024-08-12 20:24:00,0,2024-08-13T02:24:00Z,2024-08-13T02:25:01.690Z,2024-08-13T02:25:01.690Z,135.0
