objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt,winddir
FE1dijnodi,79,77,79,39,24,26.47,0,0.0,21June2024,2024-08-15 17:59:00,39,2024-08-15T23:59:00Z,2024-08-16T00:00:01.679Z,2024-08-16T00:00:01.679Z,
lOTJ4CHNH6,78,77,78,41,27,26.47,1,0.0,21June2024,2024-08-15 18:04:00,40,2024-08-16T00:04:00Z,2024-08-16T00:05:01.554Z,2024-08-16T00:05:01.554Z,158.0
fZk54jcLIO,78,77,78,40,25,26.47,0,0.0,21June2024,2024-08-15 18:09:00,33,2024-08-16T00:09:00Z,2024-08-16T00:10:02.126Z,2024-08-16T00:10:02.126Z,
glsSQNYDrp,79,77,79,39,24,26.47,0,0.0,21June2024,2024-08-15 18:14:00,23,2024-08-16T00:14:00Z,2024-08-16T00:15:02.068Z,2024-08-16T00:15:02.068Z,
rbctWvBSo6,78,77,78,41,26,26.48,0,0.0,21June2024,2024-08-15 18:19:00,18,2024-08-16T00:19:00Z,2024-08-16T00:20:01.547Z,2024-08-16T00:20:01.547Z,
Ff5Ty9BLBt,78,76,78,43,29,26.48,0,0.0,21June2024,2024-08-15 18:24:00,25,2024-08-16T00:24:00Z,2024-08-16T00:25:01.473Z,2024-08-16T00:25:01.473Z,
ncB4SUL4IJ,76,75,76,44,32,26.47,0,0.0,21June2024,2024-08-15 18:29:00,51,2024-08-16T00:29:00Z,2024-08-16T00:30:02.098Z,2024-08-16T00:30:02.098Z,
f0nmdt16Mc,77,76,77,43,30,26.47,2,0.0,21June2024,2024-08-15 18:34:00,91,2024-08-16T00:34:00Z,2024-08-16T00:35:02.047Z,2024-08-16T00:35:02.047Z,202.0
XkyDAkMW3a,77,76,77,44,31,26.47,1,0.0,21June2024,2024-08-15 18:39:00,70,2024-08-16T00:39:00Z,2024-08-16T00:40:01.953Z,2024-08-16T00:40:01.953Z,202.0
RalZevSgL2,77,75,77,42,29,26.47,3,0.0,21June2024,2024-08-15 18:44:00,58,2024-08-16T00:44:00Z,2024-08-16T00:45:01.797Z,2024-08-16T00:45:01.797Z,270.0
I4SHQNpoBT,78,76,78,37,23,26.47,3,0.0,21June2024,2024-08-15 18:49:00,47,2024-08-16T00:49:00Z,2024-08-16T00:50:02.465Z,2024-08-16T00:50:02.465Z,270.0
MVjcY04Ixr,79,78,79,37,22,26.47,3,0.0,21June2024,2024-08-15 18:54:00,47,2024-08-16T00:54:00Z,2024-08-16T00:55:01.987Z,2024-08-16T00:55:01.987Z,270.0
w3YGLYP1i6,79,78,79,38,23,26.47,2,0.0,21June2024,2024-08-15 18:59:00,44,2024-08-16T00:59:00Z,2024-08-16T01:00:01.651Z,2024-08-16T01:00:01.651Z,292.0
tvmSAJwjBI,80,78,80,38,23,26.47,2,0.0,21June2024,2024-08-15 19:04:00,49,2024-08-16T01:04:00Z,2024-08-16T01:05:01.766Z,2024-08-16T01:05:01.766Z,292.0
ib75hEfpPB,79,78,79,42,27,26.47,0,0.0,21June2024,2024-08-15 19:09:00,43,2024-08-16T01:09:00Z,2024-08-16T01:10:02.269Z,2024-08-16T01:10:02.269Z,
NQfWxgCSNf,78,77,78,42,28,26.47,0,0.0,21June2024,2024-08-15 19:14:00,37,2024-08-16T01:14:00Z,2024-08-16T01:15:01.663Z,2024-08-16T01:15:01.663Z,
O3BGQ9Qgqk,78,77,78,43,29,26.47,0,0.0,21June2024,2024-08-15 19:19:00,33,2024-08-16T01:19:00Z,2024-08-16T01:20:02.058Z,2024-08-16T01:20:02.058Z,
vYiQSGFRKb,77,76,77,42,28,26.47,0,0.0,21June2024,2024-08-15 19:24:00,16,2024-08-16T01:24:00Z,2024-08-16T01:25:02.290Z,2024-08-16T01:25:02.290Z,
8qhuQBCEVC,78,76,78,42,28,26.47,0,0.0,21June2024,2024-08-15 19:29:00,12,2024-08-16T01:29:00Z,2024-08-16T01:30:01.923Z,2024-08-16T01:30:01.923Z,
AD9Y8pPG7x,78,77,78,43,29,26.47,1,0.0,21June2024,2024-08-15 19:34:00,9,2024-08-16T01:34:00Z,2024-08-16T01:35:01.569Z,2024-08-16T01:35:01.569Z,292.0
XoCFKoHSRv,77,76,77,43,30,26.47,0,0.0,21June2024,2024-08-15 19:39:00,7,2024-08-16T01:39:00Z,2024-08-16T01:40:02.270Z,2024-08-16T01:40:02.270Z,
e4hq27nQnS,77,75,77,44,32,26.47,0,0.0,21June2024,2024-08-15 19:44:00,5,2024-08-16T01:44:00Z,2024-08-16T01:45:01.534Z,2024-08-16T01:45:01.534Z,
eI6d1JehDh,76,75,76,44,32,26.47,0,0.0,21June2024,2024-08-15 19:49:00,0,2024-08-16T01:49:00Z,2024-08-16T01:50:02.163Z,2024-08-16T01:50:02.163Z,
KmCasRpSJ4,76,74,76,45,33,26.47,0,0.0,21June2024,2024-08-15 19:54:00,0,2024-08-16T01:54:00Z,2024-08-16T01:55:02.252Z,2024-08-16T01:55:02.252Z,
