objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt,winddir
tYb9Ip9pkX,80,80,80,54,41,26.5,0,0.01,21June2024,2024-08-19 17:59:00,62,2024-08-19T23:59:00Z,2024-08-20T00:00:01.741Z,2024-08-20T00:00:01.741Z,
zx8t3h2Vyv,80,79,80,51,36,26.49,0,0.01,21June2024,2024-08-19 18:04:00,69,2024-08-20T00:04:00Z,2024-08-20T00:05:02.293Z,2024-08-20T00:05:02.293Z,
Qam6lElYkH,80,79,80,50,35,26.49,1,0.0,21June2024,2024-08-19 18:09:00,63,2024-08-20T00:09:00Z,2024-08-20T00:10:01.567Z,2024-08-20T00:10:01.567Z,135.0
4et25GmdjB,80,79,80,52,38,26.49,0,0.0,21June2024,2024-08-19 18:14:00,71,2024-08-20T00:14:00Z,2024-08-20T00:15:02.036Z,2024-08-20T00:15:02.036Z,
nfJbKXm3E8,80,79,80,52,38,26.5,0,0.0,21June2024,2024-08-19 18:19:00,58,2024-08-20T00:19:00Z,2024-08-20T00:20:01.606Z,2024-08-20T00:20:01.606Z,
EZmpe50ZYd,80,79,80,51,37,26.49,1,0.0,21June2024,2024-08-19 18:24:00,72,2024-08-20T00:24:00Z,2024-08-20T00:25:01.428Z,2024-08-20T00:25:01.428Z,135.0
yJYaRFviV8,80,80,80,56,43,26.49,0,0.0,21June2024,2024-08-19 18:29:00,98,2024-08-20T00:29:00Z,2024-08-20T00:30:01.956Z,2024-08-20T00:30:01.956Z,
xFSZ80xt0h,80,80,80,51,36,26.5,0,0.0,21June2024,2024-08-19 18:34:00,128,2024-08-20T00:34:00Z,2024-08-20T00:35:02.131Z,2024-08-20T00:35:02.131Z,
zOIjardFXz,81,80,81,50,34,26.5,0,0.0,21June2024,2024-08-19 18:39:00,127,2024-08-20T00:39:00Z,2024-08-20T00:40:01.687Z,2024-08-20T00:40:01.687Z,
y9q3ZiUUjt,81,80,81,50,33,26.5,0,0.0,21June2024,2024-08-19 18:44:00,100,2024-08-20T00:44:00Z,2024-08-20T00:45:01.460Z,2024-08-20T00:45:01.460Z,
R0BcrFliIx,81,80,81,51,36,26.5,0,0.0,21June2024,2024-08-19 18:49:00,72,2024-08-20T00:49:00Z,2024-08-20T00:50:02.364Z,2024-08-20T00:50:02.364Z,
AsBSEgQlhJ,81,80,81,50,34,26.5,1,0.0,21June2024,2024-08-19 18:54:00,44,2024-08-20T00:54:00Z,2024-08-20T00:55:01.559Z,2024-08-20T00:55:01.559Z,135.0
EdkrCrgPxm,82,81,82,51,35,26.5,1,0.0,21June2024,2024-08-19 18:59:00,39,2024-08-20T00:59:00Z,2024-08-20T01:00:02.427Z,2024-08-20T01:00:02.427Z,135.0
LTA5ehWbPC,81,80,81,51,36,26.5,0,0.0,21June2024,2024-08-19 19:04:00,19,2024-08-20T01:04:00Z,2024-08-20T01:05:02.180Z,2024-08-20T01:05:02.180Z,
JPL5jfB1rD,80,79,80,53,39,26.5,1,0.0,21June2024,2024-08-19 19:09:00,21,2024-08-20T01:09:00Z,2024-08-20T01:10:01.920Z,2024-08-20T01:10:01.920Z,112.0
ob2KnDHC3s,79,79,79,52,39,26.51,1,0.0,21June2024,2024-08-19 19:14:00,19,2024-08-20T01:14:00Z,2024-08-20T01:15:02.053Z,2024-08-20T01:15:02.053Z,112.0
0Lbmg4jTMQ,79,78,79,53,41,26.51,1,0.0,21June2024,2024-08-19 19:19:00,21,2024-08-20T01:19:00Z,2024-08-20T01:20:02.019Z,2024-08-20T01:20:02.019Z,158.0
0tZOgWVwHa,78,78,78,53,42,26.51,1,0.0,21June2024,2024-08-19 19:24:00,5,2024-08-20T01:24:00Z,2024-08-20T01:25:01.903Z,2024-08-20T01:25:01.903Z,112.0
OFAFPkrCth,78,77,78,53,42,26.51,1,0.0,21June2024,2024-08-19 19:29:00,0,2024-08-20T01:29:00Z,2024-08-20T01:30:02.767Z,2024-08-20T01:30:02.767Z,112.0
yhFSvPGz9V,77,77,77,54,44,26.52,3,0.0,21June2024,2024-08-19 19:34:00,0,2024-08-20T01:34:00Z,2024-08-20T01:35:01.945Z,2024-08-20T01:35:01.945Z,135.0
jDInIG1wEK,77,77,77,54,45,26.52,1,0.0,21June2024,2024-08-19 19:39:00,0,2024-08-20T01:39:00Z,2024-08-20T01:40:01.478Z,2024-08-20T01:40:01.478Z,112.0
uVv3UPwy9d,77,76,77,54,45,26.52,2,0.0,21June2024,2024-08-19 19:44:00,0,2024-08-20T01:44:00Z,2024-08-20T01:45:01.639Z,2024-08-20T01:45:01.639Z,135.0
B2Ngd5DZGE,76,76,76,54,46,26.52,1,0.0,21June2024,2024-08-19 19:49:00,0,2024-08-20T01:49:00Z,2024-08-20T01:50:02.154Z,2024-08-20T01:50:02.154Z,90.0
CzGWGU3Skq,76,76,76,54,47,26.53,2,0.0,21June2024,2024-08-19 19:54:00,0,2024-08-20T01:54:00Z,2024-08-20T01:55:01.603Z,2024-08-20T01:55:01.603Z,112.0
fK7GfWWaO1,76,75,76,54,47,26.53,1,0.0,21June2024,2024-08-19 19:59:00,0,2024-08-20T01:59:00Z,2024-08-20T02:00:02.340Z,2024-08-20T02:00:02.340Z,68.0
0MFWEaRnu2,76,75,76,54,48,26.54,1,0.0,21June2024,2024-08-19 20:04:00,0,2024-08-20T02:04:00Z,2024-08-20T02:05:01.897Z,2024-08-20T02:05:01.897Z,68.0
1FGvJJKBFW,75,75,75,54,48,26.54,1,0.0,21June2024,2024-08-19 20:09:00,0,2024-08-20T02:09:00Z,2024-08-20T02:10:02.173Z,2024-08-20T02:10:02.173Z,112.0
BazfUyULEL,75,75,75,54,47,26.55,0,0.0,21June2024,2024-08-19 20:14:00,0,2024-08-20T02:14:00Z,2024-08-20T02:15:01.899Z,2024-08-20T02:15:01.899Z,
cG1DzJmFPV,75,74,75,54,48,26.56,0,0.0,21June2024,2024-08-19 20:19:00,0,2024-08-20T02:19:00Z,2024-08-20T02:20:01.663Z,2024-08-20T02:20:01.663Z,
gmcZ9hLTCg,75,74,75,55,50,26.57,0,0.0,21June2024,2024-08-19 20:24:00,0,2024-08-20T02:24:00Z,2024-08-20T02:25:01.905Z,2024-08-20T02:25:01.905Z,
fmvxPgAOOR,74,73,74,56,54,26.56,0,0.02,21June2024,2024-08-19 20:29:00,0,2024-08-20T02:29:00Z,2024-08-20T02:30:02.528Z,2024-08-20T02:30:02.528Z,
SI97WFSOIQ,72,72,72,57,58,26.56,0,0.02,21June2024,2024-08-19 20:34:00,0,2024-08-20T02:34:00Z,2024-08-20T02:35:02.190Z,2024-08-20T02:35:02.190Z,
p0SqKCrBH0,72,71,72,58,62,26.56,1,0.02,21June2024,2024-08-19 20:39:00,0,2024-08-20T02:39:00Z,2024-08-20T02:40:01.745Z,2024-08-20T02:40:01.745Z,90.0
CJHrCs9HTl,72,71,72,57,61,26.57,3,0.02,21June2024,2024-08-19 20:44:00,0,2024-08-20T02:44:00Z,2024-08-20T02:45:01.777Z,2024-08-20T02:45:01.777Z,292.0
3NRtyFJYKP,72,72,72,57,60,26.56,6,0.03,21June2024,2024-08-19 20:49:00,0,2024-08-20T02:49:00Z,2024-08-20T02:50:02.435Z,2024-08-20T02:50:02.435Z,315.0
xIKiAhoyzL,72,71,72,55,56,26.56,3,0.03,21June2024,2024-08-19 20:54:00,0,2024-08-20T02:54:00Z,2024-08-20T02:55:01.664Z,2024-08-20T02:55:01.664Z,292.0
1KZhfIGzIS,72,71,72,55,55,26.56,3,0.03,21June2024,2024-08-19 20:59:00,0,2024-08-20T02:59:00Z,2024-08-20T03:00:02.421Z,2024-08-20T03:00:02.421Z,292.0
uCcFdwesZZ,71,71,71,55,57,26.56,7,0.03,21June2024,2024-08-19 21:04:00,0,2024-08-20T03:04:00Z,2024-08-20T03:05:01.908Z,2024-08-20T03:05:01.908Z,292.0
FON24BiWaE,70,70,70,55,58,26.54,4,0.04,21June2024,2024-08-19 21:09:00,0,2024-08-20T03:09:00Z,2024-08-20T03:10:02.075Z,2024-08-20T03:10:02.075Z,0.0
hwVi4xqpUD,69,69,69,54,58,26.52,4,0.04,21June2024,2024-08-19 21:14:00,0,2024-08-20T03:14:00Z,2024-08-20T03:15:02.509Z,2024-08-20T03:15:02.509Z,45.0
cqHUQcFa8b,69,69,69,53,57,26.52,1,0.04,21June2024,2024-08-19 21:19:00,0,2024-08-20T03:19:00Z,2024-08-20T03:20:02.163Z,2024-08-20T03:20:02.163Z,45.0
XAJkZmyLEv,70,70,70,52,54,26.53,5,0.04,21June2024,2024-08-19 21:24:00,0,2024-08-20T03:24:00Z,2024-08-20T03:25:02.235Z,2024-08-20T03:25:02.235Z,270.0
VvSjwvz660,69,69,69,53,55,26.54,7,0.02,21June2024,2024-08-19 21:29:00,0,2024-08-20T03:29:00Z,2024-08-20T03:30:02.039Z,2024-08-20T03:30:02.039Z,270.0
0LgzYPswA1,69,69,69,52,55,26.55,4,0.02,21June2024,2024-08-19 21:34:00,0,2024-08-20T03:34:00Z,2024-08-20T03:35:01.712Z,2024-08-20T03:35:01.712Z,248.0
EMDS2WMWD1,69,69,69,52,54,26.54,4,0.02,21June2024,2024-08-19 21:39:00,0,2024-08-20T03:39:00Z,2024-08-20T03:40:02.306Z,2024-08-20T03:40:02.306Z,270.0
Qnp5LpjvFN,69,69,69,51,52,26.54,3,0.02,21June2024,2024-08-19 21:44:00,0,2024-08-20T03:44:00Z,2024-08-20T03:45:02.157Z,2024-08-20T03:45:02.157Z,292.0
DaA5Aj9bpA,70,69,70,52,52,26.55,1,0.01,21June2024,2024-08-19 21:49:00,0,2024-08-20T03:49:00Z,2024-08-20T03:50:01.545Z,2024-08-20T03:50:01.545Z,292.0
yJn6ZTdIRZ,70,69,70,50,49,26.54,3,0.01,21June2024,2024-08-19 21:54:00,0,2024-08-20T03:54:00Z,2024-08-20T03:55:02.238Z,2024-08-20T03:55:02.238Z,292.0
g2iOMDjRLa,71,70,71,49,46,26.53,4,0.01,21June2024,2024-08-19 21:59:00,0,2024-08-20T03:59:00Z,2024-08-20T04:00:02.020Z,2024-08-20T04:00:02.020Z,22.0
TCsHaoO4WM,71,70,71,49,46,26.53,2,0.01,21June2024,2024-08-19 22:04:00,0,2024-08-20T04:04:00Z,2024-08-20T04:05:01.689Z,2024-08-20T04:05:01.689Z,0.0
A9KzEG1QFz,71,70,71,49,46,26.53,1,0.0,21June2024,2024-08-19 22:09:00,0,2024-08-20T04:09:00Z,2024-08-20T04:10:02.496Z,2024-08-20T04:10:02.496Z,0.0
1uRB6ZApm5,71,70,71,49,46,26.54,0,0.0,21June2024,2024-08-19 22:14:00,0,2024-08-20T04:14:00Z,2024-08-20T04:15:02.322Z,2024-08-20T04:15:02.322Z,
2EAIwQSGFi,70,69,70,49,47,26.54,2,0.0,21June2024,2024-08-19 22:19:00,0,2024-08-20T04:19:00Z,2024-08-20T04:20:01.789Z,2024-08-20T04:20:01.789Z,338.0
LE3ZvVodI7,70,69,70,49,47,26.54,3,0.0,21June2024,2024-08-19 22:24:00,0,2024-08-20T04:24:00Z,2024-08-20T04:25:02.052Z,2024-08-20T04:25:02.052Z,315.0
Zcbh6OSPSO,70,69,70,49,47,26.53,3,0.0,21June2024,2024-08-19 22:29:00,0,2024-08-20T04:29:00Z,2024-08-20T04:30:01.735Z,2024-08-20T04:30:01.735Z,0.0
XHCzWJQog4,71,70,71,49,46,26.54,3,0.0,21June2024,2024-08-19 22:34:00,0,2024-08-20T04:34:00Z,2024-08-20T04:35:01.613Z,2024-08-20T04:35:01.613Z,292.0
DTsf90ur3U,71,70,71,48,44,26.54,3,0.0,21June2024,2024-08-19 22:39:00,0,2024-08-20T04:39:00Z,2024-08-20T04:40:02.174Z,2024-08-20T04:40:02.174Z,292.0
bpVyqJjMWH,72,70,72,48,43,26.54,2,0.0,21June2024,2024-08-19 22:44:00,0,2024-08-20T04:44:00Z,2024-08-20T04:45:01.708Z,2024-08-20T04:45:01.708Z,292.0
DfaDG0eiJO,71,70,71,49,45,26.55,0,0.0,21June2024,2024-08-19 22:49:00,0,2024-08-20T04:49:00Z,2024-08-20T04:50:01.885Z,2024-08-20T04:50:01.885Z,
2fnFiPVN0i,71,69,71,48,45,26.54,0,0.0,21June2024,2024-08-19 22:54:00,0,2024-08-20T04:54:00Z,2024-08-20T04:55:02.209Z,2024-08-20T04:55:02.209Z,
jvVrPz3kQY,70,70,70,49,47,26.55,0,0.0,21June2024,2024-08-19 22:59:00,0,2024-08-20T04:59:00Z,2024-08-20T05:00:02.089Z,2024-08-20T05:00:02.089Z,
JtJOiJZEwg,70,70,70,49,47,26.55,2,0.0,21June2024,2024-08-19 23:04:00,0,2024-08-20T05:04:00Z,2024-08-20T05:05:01.653Z,2024-08-20T05:05:01.653Z,292.0
tmQm27X3wC,70,69,70,48,45,26.55,2,0.0,21June2024,2024-08-19 23:09:00,0,2024-08-20T05:09:00Z,2024-08-20T05:10:01.721Z,2024-08-20T05:10:01.721Z,22.0
wQX8TKPU9S,71,70,71,48,44,26.55,2,0.0,21June2024,2024-08-19 23:14:00,0,2024-08-20T05:14:00Z,2024-08-20T05:15:01.454Z,2024-08-20T05:15:01.454Z,0.0
mhGIJ9WqW7,71,70,71,48,44,26.55,2,0.0,21June2024,2024-08-19 23:19:00,0,2024-08-20T05:19:00Z,2024-08-20T05:20:02.192Z,2024-08-20T05:20:02.192Z,0.0
v0m6qJDkB6,71,70,71,48,43,26.55,2,0.0,21June2024,2024-08-19 23:24:00,0,2024-08-20T05:24:00Z,2024-08-20T05:25:02.127Z,2024-08-20T05:25:02.127Z,0.0
t8tKiDoJ3r,71,70,71,47,42,26.56,1,0.0,21June2024,2024-08-19 23:29:00,0,2024-08-20T05:29:00Z,2024-08-20T05:30:01.663Z,2024-08-20T05:30:01.663Z,0.0
2SMkubefDW,71,70,71,47,42,26.56,1,0.0,21June2024,2024-08-19 23:34:00,0,2024-08-20T05:34:00Z,2024-08-20T05:35:01.710Z,2024-08-20T05:35:01.710Z,338.0
XInFtL6DRS,71,70,71,48,45,26.56,0,0.0,21June2024,2024-08-19 23:39:00,0,2024-08-20T05:39:00Z,2024-08-20T05:40:02.253Z,2024-08-20T05:40:02.253Z,
4EcBQIlpaM,70,69,70,48,46,26.56,0,0.0,21June2024,2024-08-19 23:44:00,0,2024-08-20T05:44:00Z,2024-08-20T05:45:01.848Z,2024-08-20T05:45:01.848Z,
8JkKnGJ9ck,69,69,69,49,48,26.56,0,0.0,21June2024,2024-08-19 23:49:00,0,2024-08-20T05:49:00Z,2024-08-20T05:50:02.307Z,2024-08-20T05:50:02.307Z,
CbxaFjnjgn,69,69,69,48,48,26.56,1,0.0,21June2024,2024-08-19 23:54:00,0,2024-08-20T05:54:00Z,2024-08-20T05:55:02.030Z,2024-08-20T05:55:02.030Z,338.0
K3FJQHifPy,68,68,68,49,50,26.56,0,0.0,21June2024,2024-08-19 23:59:00,0,2024-08-20T05:59:00Z,2024-08-20T06:00:01.861Z,2024-08-20T06:00:01.861Z,
xAHhzymOWW,68,68,68,48,49,26.56,1,0.0,21June2024,2024-08-20 00:04:00,0,2024-08-20T06:04:00Z,2024-08-20T06:05:02.221Z,2024-08-20T06:05:02.221Z,338.0
GnqEwoQuTv,69,69,69,48,47,26.55,4,0.0,21June2024,2024-08-20 00:09:00,0,2024-08-20T06:09:00Z,2024-08-20T06:10:02.099Z,2024-08-20T06:10:02.099Z,292.0
YPbu43lmAo,70,70,70,49,47,26.55,2,0.0,21June2024,2024-08-20 00:14:00,0,2024-08-20T06:14:00Z,2024-08-20T06:15:01.668Z,2024-08-20T06:15:01.668Z,292.0
osx3DJxapY,68,68,68,50,52,26.55,1,0.0,21June2024,2024-08-20 00:19:00,0,2024-08-20T06:19:00Z,2024-08-20T06:20:01.451Z,2024-08-20T06:20:01.451Z,292.0
A3VLN9hboK,67,67,67,51,57,26.55,1,0.0,21June2024,2024-08-20 00:24:00,0,2024-08-20T06:24:00Z,2024-08-20T06:25:01.859Z,2024-08-20T06:25:01.859Z,292.0
KE4qvtbPG8,65,65,65,52,61,26.55,0,0.0,21June2024,2024-08-20 00:29:00,0,2024-08-20T06:29:00Z,2024-08-20T06:30:01.744Z,2024-08-20T06:30:01.744Z,
dEqE9C6uRk,65,65,65,52,64,26.55,0,0.0,21June2024,2024-08-20 00:34:00,0,2024-08-20T06:34:00Z,2024-08-20T06:35:02.334Z,2024-08-20T06:35:02.334Z,
4F7ux10Cpz,64,64,64,52,65,26.55,0,0.0,21June2024,2024-08-20 00:39:00,0,2024-08-20T06:39:00Z,2024-08-20T06:40:01.837Z,2024-08-20T06:40:01.837Z,
