objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
reFi18H0jl,86,82,86,33,15,26.39,270.0,4,0,21June2024,2024-08-11 17:59:00,81,2024-08-11T23:59:00Z,2024-08-12T00:00:02.337Z,2024-08-12T00:00:02.337Z
Y5UMcejEDI,86,82,86,33,15,26.39,270.0,5,0,21June2024,2024-08-11 18:04:00,81,2024-08-12T00:04:00Z,2024-08-12T00:05:02.468Z,2024-08-12T00:05:02.468Z
o2Kvyq9f4c,86,82,86,36,17,26.39,248.0,4,0,21June2024,2024-08-11 18:09:00,83,2024-08-12T00:09:00Z,2024-08-12T00:10:01.931Z,2024-08-12T00:10:01.931Z
B3wYWBGSxG,86,83,86,33,15,26.39,270.0,8,0,21June2024,2024-08-11 18:14:00,81,2024-08-12T00:14:00Z,2024-08-12T00:15:02.189Z,2024-08-12T00:15:02.189Z
n0A7VRqxWx,86,83,86,33,15,26.39,270.0,2,0,21June2024,2024-08-11 18:19:00,83,2024-08-12T00:19:00Z,2024-08-12T00:20:02.027Z,2024-08-12T00:20:02.027Z
Okg181ZSiD,86,83,86,35,16,26.39,270.0,5,0,21June2024,2024-08-11 18:24:00,81,2024-08-12T00:24:00Z,2024-08-12T00:25:01.987Z,2024-08-12T00:25:01.987Z
AYXZcKucpk,86,83,86,35,16,26.39,270.0,2,0,21June2024,2024-08-11 18:29:00,81,2024-08-12T00:29:00Z,2024-08-12T00:30:01.523Z,2024-08-12T00:30:01.523Z
NfNKKJ43UC,86,83,86,36,17,26.4,248.0,2,0,21June2024,2024-08-11 18:34:00,93,2024-08-12T00:34:00Z,2024-08-12T00:35:02.177Z,2024-08-12T00:35:02.177Z
Ost6LP2zkY,86,82,86,36,17,26.39,292.0,2,0,21June2024,2024-08-11 18:39:00,98,2024-08-12T00:39:00Z,2024-08-12T00:40:01.664Z,2024-08-12T00:40:01.664Z
hUK37ETIdd,85,82,85,36,17,26.39,135.0,1,0,21June2024,2024-08-11 18:44:00,69,2024-08-12T00:44:00Z,2024-08-12T00:45:02.338Z,2024-08-12T00:45:02.338Z
0tg4i7bH56,85,82,85,37,18,26.4,270.0,2,0,21June2024,2024-08-11 18:49:00,67,2024-08-12T00:49:00Z,2024-08-12T00:50:01.698Z,2024-08-12T00:50:01.698Z
xy4DCeRg2c,84,81,84,37,19,26.4,270.0,2,0,21June2024,2024-08-11 18:54:00,51,2024-08-12T00:54:00Z,2024-08-12T00:55:01.952Z,2024-08-12T00:55:01.952Z
4Lj0z25eT7,83,81,83,37,19,26.4,270.0,1,0,21June2024,2024-08-11 18:59:00,35,2024-08-12T00:59:00Z,2024-08-12T01:00:01.655Z,2024-08-12T01:00:01.655Z
n2lNIFntHS,83,81,83,37,19,26.4,90.0,1,0,21June2024,2024-08-11 19:04:00,23,2024-08-12T01:04:00Z,2024-08-12T01:05:01.897Z,2024-08-12T01:05:01.897Z
