objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt,winddir
dKDyMtyZtg,80,79,80,43,27,26.55,0,0,21June2024,2024-08-26 17:59:00,107,2024-08-26T23:59:00Z,2024-08-27T00:00:02.049Z,2024-08-27T00:00:02.049Z,
uaYGZPvFk1,81,80,81,43,26,26.55,0,0,21June2024,2024-08-26 18:04:00,109,2024-08-27T00:04:00Z,2024-08-27T00:05:02.330Z,2024-08-27T00:05:02.330Z,
UjrnKnyGcM,82,80,82,41,24,26.55,0,0,21June2024,2024-08-26 18:09:00,110,2024-08-27T00:09:00Z,2024-08-27T00:10:01.732Z,2024-08-27T00:10:01.732Z,
FoEL5J6R1a,82,80,82,42,24,26.55,0,0,21June2024,2024-08-26 18:14:00,63,2024-08-27T00:14:00Z,2024-08-27T00:15:01.979Z,2024-08-27T00:15:01.979Z,
75NNvDsLIw,80,79,80,43,27,26.55,0,0,21June2024,2024-08-26 18:19:00,35,2024-08-27T00:19:00Z,2024-08-27T00:20:01.655Z,2024-08-27T00:20:01.655Z,
EdGrLO0Gzr,80,79,80,43,27,26.55,0,0,21June2024,2024-08-26 18:24:00,30,2024-08-27T00:24:00Z,2024-08-27T00:25:01.850Z,2024-08-27T00:25:01.850Z,
UMGarLcLtI,80,79,80,44,28,26.54,0,0,21June2024,2024-08-26 18:29:00,26,2024-08-27T00:29:00Z,2024-08-27T00:30:02.424Z,2024-08-27T00:30:02.424Z,
Na1Zyq9TjK,79,78,79,44,29,26.54,0,0,21June2024,2024-08-26 18:34:00,23,2024-08-27T00:34:00Z,2024-08-27T00:35:01.686Z,2024-08-27T00:35:01.686Z,
j8dTKx9dg4,79,78,79,42,27,26.54,0,0,21June2024,2024-08-26 18:39:00,23,2024-08-27T00:39:00Z,2024-08-27T00:40:02.302Z,2024-08-27T00:40:02.302Z,
qEjx1woZDn,79,78,79,43,28,26.54,0,0,21June2024,2024-08-26 18:44:00,23,2024-08-27T00:44:00Z,2024-08-27T00:45:01.427Z,2024-08-27T00:45:01.427Z,
6ubvtD4uom,79,78,79,42,27,26.54,0,0,21June2024,2024-08-26 18:49:00,30,2024-08-27T00:49:00Z,2024-08-27T00:50:02.098Z,2024-08-27T00:50:02.098Z,
1Gmmm3KoXL,79,78,79,41,26,26.54,0,0,21June2024,2024-08-26 18:54:00,23,2024-08-27T00:54:00Z,2024-08-27T00:55:01.811Z,2024-08-27T00:55:01.811Z,
ThmhfBoKyc,79,78,79,41,26,26.54,0,0,21June2024,2024-08-26 18:59:00,18,2024-08-27T00:59:00Z,2024-08-27T01:00:02.544Z,2024-08-27T01:00:02.544Z,
Ovvjubbj68,78,77,78,46,32,26.55,0,0,21June2024,2024-08-26 19:04:00,14,2024-08-27T01:04:00Z,2024-08-27T01:05:02.800Z,2024-08-27T01:05:02.800Z,
1H0qDkSijj,76,75,76,47,35,26.55,0,0,21June2024,2024-08-26 19:09:00,39,2024-08-27T01:09:00Z,2024-08-27T01:10:02.224Z,2024-08-27T01:10:02.224Z,
CzUP2HjUX4,75,74,75,47,37,26.55,1,0,21June2024,2024-08-26 19:14:00,33,2024-08-27T01:14:00Z,2024-08-27T01:15:02.072Z,2024-08-27T01:15:02.072Z,135.0
ACs94lxmYl,76,75,76,43,31,26.55,2,0,21June2024,2024-08-26 19:19:00,33,2024-08-27T01:19:00Z,2024-08-27T01:20:02.248Z,2024-08-27T01:20:02.248Z,135.0
qYiaN5eHs8,78,76,78,45,32,26.55,0,0,21June2024,2024-08-26 19:24:00,26,2024-08-27T01:24:00Z,2024-08-27T01:25:02.413Z,2024-08-27T01:25:02.413Z,
8cmGmRmEv7,77,76,77,46,33,26.55,0,0,21June2024,2024-08-26 19:29:00,14,2024-08-27T01:29:00Z,2024-08-27T01:30:02.063Z,2024-08-27T01:30:02.063Z,
h10y5zZcCa,76,75,76,47,35,26.55,0,0,21June2024,2024-08-26 19:34:00,7,2024-08-27T01:34:00Z,2024-08-27T01:35:01.447Z,2024-08-27T01:35:01.447Z,
oIeHac47AF,76,75,76,47,36,26.55,0,0,21June2024,2024-08-26 19:39:00,0,2024-08-27T01:39:00Z,2024-08-27T01:40:02.038Z,2024-08-27T01:40:02.038Z,
PJ66Zk6hhX,75,74,75,47,37,26.55,0,0,21June2024,2024-08-26 19:44:00,0,2024-08-27T01:44:00Z,2024-08-27T01:45:02.372Z,2024-08-27T01:45:02.372Z,
wx4JHa68ie,75,74,75,46,35,26.56,0,0,21June2024,2024-08-26 19:49:00,0,2024-08-27T01:49:00Z,2024-08-27T01:50:01.691Z,2024-08-27T01:50:01.691Z,
FynUqiXlkN,75,74,75,47,37,26.56,1,0,21June2024,2024-08-26 19:54:00,0,2024-08-27T01:54:00Z,2024-08-27T01:55:02.332Z,2024-08-27T01:55:02.332Z,180.0
ilpLANJA5S,75,74,75,46,36,26.55,0,0,21June2024,2024-08-26 19:59:00,0,2024-08-27T01:59:00Z,2024-08-27T02:00:02.114Z,2024-08-27T02:00:02.114Z,
rsub0bu22e,74,73,74,48,39,26.56,1,0,21June2024,2024-08-26 20:04:00,0,2024-08-27T02:04:00Z,2024-08-27T02:05:02.317Z,2024-08-27T02:05:02.317Z,180.0
Up8oAVhxRl,73,72,73,48,40,26.56,2,0,21June2024,2024-08-26 20:09:00,0,2024-08-27T02:09:00Z,2024-08-27T02:10:02.027Z,2024-08-27T02:10:02.027Z,180.0
ObLdsHjC9m,74,73,74,47,39,26.56,1,0,21June2024,2024-08-26 20:14:00,0,2024-08-27T02:14:00Z,2024-08-27T02:15:01.724Z,2024-08-27T02:15:01.724Z,202.0
LvVUbn1orM,74,73,74,48,40,26.56,1,0,21June2024,2024-08-26 20:19:00,0,2024-08-27T02:19:00Z,2024-08-27T02:20:01.703Z,2024-08-27T02:20:01.703Z,270.0
T73GUgXsSU,73,72,73,49,42,26.56,1,0,21June2024,2024-08-26 20:24:00,0,2024-08-27T02:24:00Z,2024-08-27T02:25:02.020Z,2024-08-27T02:25:02.020Z,270.0
ouBhWmdsiQ,73,72,73,48,42,26.56,1,0,21June2024,2024-08-26 20:29:00,0,2024-08-27T02:29:00Z,2024-08-27T02:30:01.746Z,2024-08-27T02:30:01.746Z,270.0
2f8ggdjBgU,72,71,72,49,44,26.56,0,0,21June2024,2024-08-26 20:34:00,0,2024-08-27T02:34:00Z,2024-08-27T02:35:01.625Z,2024-08-27T02:35:01.625Z,
QH3zqGoAm2,72,71,72,51,48,26.57,0,0,21June2024,2024-08-26 20:39:00,0,2024-08-27T02:39:00Z,2024-08-27T02:40:02.299Z,2024-08-27T02:40:02.299Z,
QB6sooaYOQ,71,70,71,50,48,26.57,0,0,21June2024,2024-08-26 20:44:00,0,2024-08-27T02:44:00Z,2024-08-27T02:45:02.046Z,2024-08-27T02:45:02.046Z,
qZ90P0i1xF,71,70,71,51,49,26.57,0,0,21June2024,2024-08-26 20:49:00,0,2024-08-27T02:49:00Z,2024-08-27T02:50:01.881Z,2024-08-27T02:50:01.881Z,
V5zIYcWjds,70,70,70,51,51,26.57,0,0,21June2024,2024-08-26 20:54:00,0,2024-08-27T02:54:00Z,2024-08-27T02:55:01.585Z,2024-08-27T02:55:01.585Z,
