objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
NebuwklGf5,92,88,92,32,12,26.48,90.0,1,0,21June2024,2024-08-03 17:59:00,77,2024-08-03T23:59:00Z,2024-08-04T00:00:02.423Z,2024-08-04T00:00:02.423Z
wIe2NtxYP4,93,88,93,31,11,26.48,90.0,1,0,21June2024,2024-08-03 18:04:00,77,2024-08-04T00:04:00Z,2024-08-04T00:05:01.415Z,2024-08-04T00:05:01.415Z
VddSu1o6TG,92,87,92,30,11,26.48,112.0,1,0,21June2024,2024-08-03 18:09:00,79,2024-08-04T00:09:00Z,2024-08-04T00:10:01.539Z,2024-08-04T00:10:01.539Z
Ueu8QkDKIV,93,88,93,31,11,26.48,315.0,1,0,21June2024,2024-08-03 18:14:00,77,2024-08-04T00:14:00Z,2024-08-04T00:15:02.054Z,2024-08-04T00:15:02.054Z
zZdeichgk1,93,88,93,33,12,26.48,68.0,1,0,21June2024,2024-08-03 18:19:00,76,2024-08-04T00:19:00Z,2024-08-04T00:20:01.873Z,2024-08-04T00:20:01.873Z
PBlNhuUa9r,92,87,92,28,10,26.47,112.0,2,0,21June2024,2024-08-03 18:24:00,77,2024-08-04T00:24:00Z,2024-08-04T00:25:01.531Z,2024-08-04T00:25:01.531Z
72icVdn6Vh,93,88,93,28,10,26.47,112.0,1,0,21June2024,2024-08-03 18:29:00,74,2024-08-04T00:29:00Z,2024-08-04T00:30:02.197Z,2024-08-04T00:30:02.197Z
CFUnVXMIBl,93,87,93,26,9,26.47,135.0,2,0,21June2024,2024-08-03 18:34:00,79,2024-08-04T00:34:00Z,2024-08-04T00:35:01.644Z,2024-08-04T00:35:01.644Z
ep3hupxBLP,93,88,93,26,9,26.48,292.0,2,0,21June2024,2024-08-03 18:39:00,79,2024-08-04T00:39:00Z,2024-08-04T00:40:02.137Z,2024-08-04T00:40:02.137Z
lR2rFnAJy4,92,87,92,28,10,26.47,45.0,3,0,21June2024,2024-08-03 18:44:00,86,2024-08-04T00:44:00Z,2024-08-04T00:45:01.766Z,2024-08-04T00:45:01.766Z
rELks7KEwY,92,87,92,28,10,26.48,45.0,1,0,21June2024,2024-08-03 18:49:00,105,2024-08-04T00:49:00Z,2024-08-04T00:50:02.164Z,2024-08-04T00:50:02.164Z
s6L2iwxYXv,92,87,92,28,10,26.48,45.0,1,0,21June2024,2024-08-03 18:54:00,125,2024-08-04T00:54:00Z,2024-08-04T00:55:02.019Z,2024-08-04T00:55:02.019Z
b5mdto3qWV,91,87,91,32,12,26.48,315.0,1,0,21June2024,2024-08-03 18:59:00,137,2024-08-04T00:59:00Z,2024-08-04T01:00:01.700Z,2024-08-04T01:00:01.700Z
qX82Ytpfdp,91,86,91,31,12,26.48,,0,0,21June2024,2024-08-03 19:04:00,137,2024-08-04T01:04:00Z,2024-08-04T01:05:01.873Z,2024-08-04T01:05:01.873Z
GuK5AxWBIw,91,86,91,31,12,26.48,315.0,1,0,21June2024,2024-08-03 19:09:00,129,2024-08-04T01:09:00Z,2024-08-04T01:10:02.420Z,2024-08-04T01:10:02.420Z
U5nIzGqCzF,91,86,91,33,13,26.48,,0,0,21June2024,2024-08-03 19:14:00,114,2024-08-04T01:14:00Z,2024-08-04T01:15:02.330Z,2024-08-04T01:15:02.330Z
E0FOGrj4dn,90,86,90,31,12,26.48,315.0,1,0,21June2024,2024-08-03 19:19:00,102,2024-08-04T01:19:00Z,2024-08-04T01:20:02.119Z,2024-08-04T01:20:02.119Z
bC99Nud3dC,90,86,90,31,12,26.48,0.0,1,0,21June2024,2024-08-03 19:24:00,88,2024-08-04T01:24:00Z,2024-08-04T01:25:01.545Z,2024-08-04T01:25:01.545Z
ddZbUHR9Ug,90,86,90,31,12,26.48,315.0,2,0,21June2024,2024-08-03 19:29:00,77,2024-08-04T01:29:00Z,2024-08-04T01:30:02.204Z,2024-08-04T01:30:02.204Z
j68AlI75WB,89,85,89,32,13,26.48,,0,0,21June2024,2024-08-03 19:34:00,62,2024-08-04T01:34:00Z,2024-08-04T01:35:02.053Z,2024-08-04T01:35:02.053Z
VX3YcgCrYW,89,85,89,33,14,26.48,315.0,1,0,21June2024,2024-08-03 19:39:00,32,2024-08-04T01:39:00Z,2024-08-04T01:40:01.495Z,2024-08-04T01:40:01.495Z
WUGvJIPXoa,88,84,88,33,14,26.48,315.0,1,0,21June2024,2024-08-03 19:44:00,13,2024-08-04T01:44:00Z,2024-08-04T01:45:02.196Z,2024-08-04T01:45:02.196Z
qigneqYOTy,87,84,87,36,16,26.48,,0,0,21June2024,2024-08-03 19:49:00,9,2024-08-04T01:49:00Z,2024-08-04T01:50:02.366Z,2024-08-04T01:50:02.366Z
Fql6FI6NwC,86,83,86,35,16,26.48,,0,0,21June2024,2024-08-03 19:54:00,7,2024-08-04T01:54:00Z,2024-08-04T01:55:01.858Z,2024-08-04T01:55:01.858Z
