objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
QXJQQQ4rQO,91,85,91,11,5,26.39,135.0,2,0,21June2024,2024-07-31 17:59:00,107,2024-07-31T23:59:00Z,2024-08-01T00:00:02.024Z,2024-08-01T00:00:02.024Z
X43GFAjaEN,92,86,92,11,5,26.39,112.0,1,0,21June2024,2024-07-31 18:04:00,105,2024-08-01T00:04:00Z,2024-08-01T00:05:01.617Z,2024-08-01T00:05:01.617Z
i92cn2dYGW,92,86,92,15,6,26.39,68.0,2,0,21June2024,2024-07-31 18:09:00,104,2024-08-01T00:09:00Z,2024-08-01T00:10:02.393Z,2024-08-01T00:10:02.393Z
6YF57U1SuI,92,86,92,15,6,26.39,135.0,1,0,21June2024,2024-07-31 18:14:00,102,2024-08-01T00:14:00Z,2024-08-01T00:15:01.946Z,2024-08-01T00:15:01.946Z
YkVwBMn6Mq,91,85,91,15,6,26.39,135.0,1,0,21June2024,2024-07-31 18:19:00,98,2024-08-01T00:19:00Z,2024-08-01T00:20:01.728Z,2024-08-01T00:20:01.728Z
ccLblCwnrQ,90,85,90,10,5,26.4,90.0,1,0,21June2024,2024-07-31 18:24:00,95,2024-08-01T00:24:00Z,2024-08-01T00:25:02.588Z,2024-08-01T00:25:02.588Z
ZEnhN796CC,91,85,91,15,6,26.39,,0,0,21June2024,2024-07-31 18:29:00,91,2024-08-01T00:29:00Z,2024-08-01T00:30:02.269Z,2024-08-01T00:30:02.269Z
0co5OX0Kug,92,86,92,11,5,26.39,112.0,1,0,21June2024,2024-07-31 18:34:00,88,2024-08-01T00:34:00Z,2024-08-01T00:35:01.897Z,2024-08-01T00:35:01.897Z
VLGxq4olzv,91,85,91,6,4,26.4,90.0,1,0,21June2024,2024-07-31 18:39:00,91,2024-08-01T00:39:00Z,2024-08-01T00:40:02.392Z,2024-08-01T00:40:02.392Z
boFqXMN4GN,91,85,91,6,4,26.4,,0,0,21June2024,2024-07-31 18:44:00,107,2024-08-01T00:44:00Z,2024-08-01T00:45:01.767Z,2024-08-01T00:45:01.767Z
fjgo77fGRJ,91,85,91,6,4,26.4,68.0,1,0,21June2024,2024-07-31 18:49:00,128,2024-08-01T00:49:00Z,2024-08-01T00:50:01.947Z,2024-08-01T00:50:01.947Z
iNi52BFDCZ,90,85,90,24,9,26.4,68.0,1,0,21June2024,2024-07-31 18:54:00,140,2024-08-01T00:54:00Z,2024-08-01T00:55:02.541Z,2024-08-01T00:55:02.541Z
ttRorZnBHn,89,85,89,26,10,26.4,,0,0,21June2024,2024-07-31 18:59:00,144,2024-08-01T00:59:00Z,2024-08-01T01:00:02.430Z,2024-08-01T01:00:02.430Z
N2KEk9kYlY,89,85,89,26,10,26.41,90.0,1,0,21June2024,2024-07-31 19:04:00,134,2024-08-01T01:04:00Z,2024-08-01T01:05:02.361Z,2024-08-01T01:05:02.361Z
Z6pCpGzPci,88,85,88,31,13,26.41,112.0,1,0,21June2024,2024-07-31 19:09:00,123,2024-08-01T01:09:00Z,2024-08-01T01:10:02.046Z,2024-08-01T01:10:02.046Z
kPRe0DlAI7,88,84,88,29,12,26.41,,0,0,21June2024,2024-07-31 19:14:00,107,2024-08-01T01:14:00Z,2024-08-01T01:15:02.071Z,2024-08-01T01:15:02.071Z
QmKKEAAY0W,88,84,88,31,13,26.41,112.0,2,0,21June2024,2024-07-31 19:19:00,97,2024-08-01T01:19:00Z,2024-08-01T01:20:02.460Z,2024-08-01T01:20:02.460Z
kfC1BCIDCT,87,83,87,32,14,26.42,,0,0,21June2024,2024-07-31 19:24:00,83,2024-08-01T01:24:00Z,2024-08-01T01:25:01.506Z,2024-08-01T01:25:01.506Z
KLV9ItJRjc,86,83,86,36,17,26.42,112.0,3,0,21June2024,2024-07-31 19:29:00,70,2024-08-01T01:29:00Z,2024-08-01T01:30:02.095Z,2024-08-01T01:30:02.095Z
U4sZvwArSX,85,82,85,36,17,26.42,90.0,1,0,21June2024,2024-07-31 19:34:00,65,2024-08-01T01:34:00Z,2024-08-01T01:35:02.179Z,2024-08-01T01:35:02.179Z
