objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
Da5fslF5Ll,83,80,83,27.0,13,26.57,90.0,1,0,21June2024,2024-08-30 17:59:00,62,2024-08-30T23:59:00Z,2024-08-31T00:00:01.886Z,2024-08-31T00:00:01.886Z
ZEn7SoU160,83,80,83,21.0,10,26.57,90.0,1,0,21June2024,2024-08-30 18:04:00,60,2024-08-31T00:04:00Z,2024-08-31T00:05:01.663Z,2024-08-31T00:05:01.663Z
j8FGXDJAuY,82,79,82,26.0,13,26.57,,0,0,21June2024,2024-08-30 18:09:00,54,2024-08-31T00:09:00Z,2024-08-31T00:10:01.871Z,2024-08-31T00:10:01.871Z
XFBHq6dm65,81,80,81,26.0,13,26.57,,0,0,21June2024,2024-08-30 18:14:00,54,2024-08-31T00:14:00Z,2024-08-31T00:15:01.897Z,2024-08-31T00:15:01.897Z
8P4BOsiYnz,81,80,81,24.0,12,26.57,135.0,2,0,21June2024,2024-08-30 18:19:00,53,2024-08-31T00:19:00Z,2024-08-31T00:20:01.669Z,2024-08-31T00:20:01.669Z
hyfssQzZf6,81,79,81,22.0,11,26.57,,0,0,21June2024,2024-08-30 18:24:00,51,2024-08-31T00:24:00Z,2024-08-31T00:25:01.493Z,2024-08-31T00:25:01.493Z
RV8pjPlAN6,81,80,81,22.0,11,26.57,,0,0,21June2024,2024-08-30 18:29:00,49,2024-08-31T00:29:00Z,2024-08-31T00:30:02.235Z,2024-08-31T00:30:02.235Z
VSShmAs4dB,81,80,81,24.0,12,26.57,90.0,1,0,21June2024,2024-08-30 18:34:00,49,2024-08-31T00:34:00Z,2024-08-31T00:35:02.303Z,2024-08-31T00:35:02.303Z
TpkAFJrJI9,81,79,81,27.0,14,26.57,,0,0,21June2024,2024-08-30 18:39:00,46,2024-08-31T00:39:00Z,2024-08-31T00:40:01.816Z,2024-08-31T00:40:01.816Z
a4DyO7aFQz,81,79,81,23.0,12,26.57,,0,0,21June2024,2024-08-30 18:44:00,40,2024-08-31T00:44:00Z,2024-08-31T00:45:01.852Z,2024-08-31T00:45:01.852Z
7pZCgzFA5j,81,79,81,20.0,10,26.57,,0,0,21June2024,2024-08-30 18:49:00,37,2024-08-31T00:49:00Z,2024-08-31T00:50:01.681Z,2024-08-31T00:50:01.681Z
4qrnfSFwAB,81,79,81,26.0,13,26.57,,0,0,21June2024,2024-08-30 18:54:00,42,2024-08-31T00:54:00Z,2024-08-31T00:55:02.328Z,2024-08-31T00:55:02.328Z
SuFhDDCAgV,80,79,80,25.0,13,26.57,,0,0,21June2024,2024-08-30 18:59:00,40,2024-08-31T00:59:00Z,2024-08-31T01:00:01.988Z,2024-08-31T01:00:01.988Z
dzBgk5yvXv,80,78,80,28.0,15,26.57,,0,0,21June2024,2024-08-30 19:04:00,40,2024-08-31T01:04:00Z,2024-08-31T01:05:02.028Z,2024-08-31T01:05:02.028Z
pEY1H8jdul,78,77,78,28.0,16,26.57,90.0,1,0,21June2024,2024-08-30 19:09:00,26,2024-08-31T01:09:00Z,2024-08-31T01:10:01.991Z,2024-08-31T01:10:01.991Z
eBrZLr4bUJ,78,76,78,32.0,19,26.57,90.0,2,0,21June2024,2024-08-30 19:14:00,19,2024-08-31T01:14:00Z,2024-08-31T01:15:01.451Z,2024-08-31T01:15:01.451Z
khGGblDni0,77,75,77,33.0,20,26.57,90.0,2,0,21June2024,2024-08-30 19:19:00,11,2024-08-31T01:19:00Z,2024-08-31T01:20:02.067Z,2024-08-31T01:20:02.067Z
cXLzxsPaXU,76,75,76,31.0,19,26.57,,0,0,21June2024,2024-08-30 19:24:00,9,2024-08-31T01:24:00Z,2024-08-31T01:25:01.856Z,2024-08-31T01:25:01.856Z
FVu94Aae13,76,74,76,34.0,22,26.57,,0,0,21June2024,2024-08-30 19:29:00,5,2024-08-31T01:29:00Z,2024-08-31T01:30:02.439Z,2024-08-31T01:30:02.439Z
RtYe5CdcqB,76,74,76,33.0,21,26.57,,0,0,21June2024,2024-08-30 19:34:00,0,2024-08-31T01:34:00Z,2024-08-31T01:35:01.539Z,2024-08-31T01:35:01.539Z
dtuns6iBZr,75,74,75,34.0,22,26.57,,0,0,21June2024,2024-08-30 19:39:00,0,2024-08-31T01:39:00Z,2024-08-31T01:40:02.061Z,2024-08-31T01:40:02.061Z
A5GnhzQQn3,75,73,75,34.0,22,26.57,90.0,1,0,21June2024,2024-08-30 19:44:00,0,2024-08-31T01:44:00Z,2024-08-31T01:45:01.948Z,2024-08-31T01:45:01.948Z
H6t8yS8D9a,75,73,75,35.0,24,26.58,,0,0,21June2024,2024-08-30 19:49:00,0,2024-08-31T01:49:00Z,2024-08-31T01:50:01.706Z,2024-08-31T01:50:01.706Z
2NTY4oLaZd,74,72,74,35.0,24,26.58,,0,0,21June2024,2024-08-30 19:54:00,0,2024-08-31T01:54:00Z,2024-08-31T01:55:02.409Z,2024-08-31T01:55:02.409Z
oHqbKtZMBb,74,72,74,35.0,24,26.58,,0,0,21June2024,2024-08-30 19:59:00,0,2024-08-31T01:59:00Z,2024-08-31T02:00:01.962Z,2024-08-31T02:00:01.962Z
zGYkJPDHcH,73,72,73,35.0,25,26.58,,0,0,21June2024,2024-08-30 20:04:00,0,2024-08-31T02:04:00Z,2024-08-31T02:05:01.828Z,2024-08-31T02:05:01.828Z
cdUDn02pRr,73,71,73,36.0,26,26.58,,0,0,21June2024,2024-08-30 20:09:00,0,2024-08-31T02:09:00Z,2024-08-31T02:10:02.358Z,2024-08-31T02:10:02.358Z
MtwpJlGzb8,72,71,72,36.0,26,26.58,,0,0,21June2024,2024-08-30 20:14:00,0,2024-08-31T02:14:00Z,2024-08-31T02:15:01.876Z,2024-08-31T02:15:01.876Z
N9tIzNrHQ7,72,70,72,37.0,28,26.58,,0,0,21June2024,2024-08-30 20:19:00,0,2024-08-31T02:19:00Z,2024-08-31T02:20:01.926Z,2024-08-31T02:20:01.926Z
R04FXYBsPW,71,69,71,36.0,28,26.59,,0,0,21June2024,2024-08-30 20:24:00,0,2024-08-31T02:24:00Z,2024-08-31T02:25:01.744Z,2024-08-31T02:25:01.744Z
qA7Oh0voFm,71,69,71,36.0,28,26.59,,0,0,21June2024,2024-08-30 20:29:00,0,2024-08-31T02:29:00Z,2024-08-31T02:30:02.329Z,2024-08-31T02:30:02.329Z
L8gZHoHKHt,71,69,71,36.0,28,26.59,,0,0,21June2024,2024-08-30 20:34:00,0,2024-08-31T02:34:00Z,2024-08-31T02:35:02.125Z,2024-08-31T02:35:02.125Z
Tn2E0qEEe7,71,69,71,35.0,27,26.59,,0,0,21June2024,2024-08-30 20:39:00,0,2024-08-31T02:39:00Z,2024-08-31T02:40:01.678Z,2024-08-31T02:40:01.678Z
U4ZW7szUf9,71,69,71,36.0,28,26.59,,0,0,21June2024,2024-08-30 20:44:00,0,2024-08-31T02:44:00Z,2024-08-31T02:45:02.244Z,2024-08-31T02:45:02.244Z
QMaCcZjjKf,71,69,71,35.0,27,26.59,90.0,1,0,21June2024,2024-08-30 20:49:00,0,2024-08-31T02:49:00Z,2024-08-31T02:50:01.808Z,2024-08-31T02:50:01.808Z
D5rqao9Xsi,71,69,71,34.0,26,26.59,,0,0,21June2024,2024-08-30 20:54:00,0,2024-08-31T02:54:00Z,2024-08-31T02:55:01.531Z,2024-08-31T02:55:01.531Z
wb2B2a5kci,71,69,71,35.0,27,26.59,,0,0,21June2024,2024-08-30 20:59:00,0,2024-08-31T02:59:00Z,2024-08-31T03:00:02.161Z,2024-08-31T03:00:02.161Z
E6PftEdZcg,71,69,71,34.0,26,26.59,112.0,1,0,21June2024,2024-08-30 21:04:00,0,2024-08-31T03:04:00Z,2024-08-31T03:05:01.468Z,2024-08-31T03:05:01.468Z
