objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt,winddir
EvtMKyPjeE,81,80,81,49,33,26.37,0,0,21June2024,2024-08-23 17:59:00,49,2024-08-23T23:59:00Z,2024-08-24T00:00:02.377Z,2024-08-24T00:00:02.377Z,
7SHSlbkYJd,81,80,81,50,34,26.37,0,0,21June2024,2024-08-23 18:04:00,47,2024-08-24T00:04:00Z,2024-08-24T00:05:02.453Z,2024-08-24T00:05:02.453Z,
qGKtV4RIZ0,81,80,81,50,34,26.38,1,0,21June2024,2024-08-23 18:09:00,47,2024-08-24T00:09:00Z,2024-08-24T00:10:02.212Z,2024-08-24T00:10:02.212Z,270.0
LOFLVAxjRG,81,80,81,50,35,26.38,2,0,21June2024,2024-08-23 18:14:00,47,2024-08-24T00:14:00Z,2024-08-24T00:15:01.656Z,2024-08-24T00:15:01.656Z,112.0
exw3nFl36h,80,80,80,51,36,26.39,1,0,21June2024,2024-08-23 18:19:00,49,2024-08-24T00:19:00Z,2024-08-24T00:20:02.540Z,2024-08-24T00:20:02.540Z,68.0
rbzyDmjHyC,80,80,80,50,35,26.38,1,0,21June2024,2024-08-23 18:24:00,52,2024-08-24T00:24:00Z,2024-08-24T00:25:02.068Z,2024-08-24T00:25:02.068Z,112.0
gDBrWiKI9r,80,80,80,50,35,26.39,0,0,21June2024,2024-08-23 18:29:00,46,2024-08-24T00:29:00Z,2024-08-24T00:30:02.045Z,2024-08-24T00:30:02.045Z,
CutHUrBWhg,80,80,80,49,34,26.39,2,0,21June2024,2024-08-23 18:34:00,47,2024-08-24T00:34:00Z,2024-08-24T00:35:02.468Z,2024-08-24T00:35:02.468Z,135.0
uOcSxoJ9Fo,80,79,80,51,36,26.39,1,0,21June2024,2024-08-23 18:39:00,49,2024-08-24T00:39:00Z,2024-08-24T00:40:02.549Z,2024-08-24T00:40:02.549Z,158.0
LcjoFCwHbQ,80,79,80,48,33,26.39,1,0,21June2024,2024-08-23 18:44:00,32,2024-08-24T00:44:00Z,2024-08-24T00:45:02.112Z,2024-08-24T00:45:02.112Z,135.0
CFWWE02ako,80,79,80,49,34,26.4,1,0,21June2024,2024-08-23 18:49:00,35,2024-08-24T00:49:00Z,2024-08-24T00:50:01.916Z,2024-08-24T00:50:01.916Z,158.0
sLEKUuGjoA,79,79,79,49,35,26.4,1,0,21June2024,2024-08-23 18:54:00,51,2024-08-24T00:54:00Z,2024-08-24T00:55:02.362Z,2024-08-24T00:55:02.362Z,158.0
TbXftVMUuu,79,79,79,50,36,26.4,0,0,21June2024,2024-08-23 18:59:00,58,2024-08-24T00:59:00Z,2024-08-24T01:00:01.868Z,2024-08-24T01:00:01.868Z,
NX2v7KAzQ4,80,79,80,49,35,26.4,1,0,21June2024,2024-08-23 19:04:00,79,2024-08-24T01:04:00Z,2024-08-24T01:05:02.116Z,2024-08-24T01:05:02.116Z,158.0
olwat3hoYI,80,79,80,50,36,26.4,1,0,21June2024,2024-08-23 19:09:00,65,2024-08-24T01:09:00Z,2024-08-24T01:10:02.045Z,2024-08-24T01:10:02.045Z,158.0
aH45oBCR1G,79,79,79,50,36,26.4,0,0,21June2024,2024-08-23 19:14:00,32,2024-08-24T01:14:00Z,2024-08-24T01:15:01.611Z,2024-08-24T01:15:01.611Z,
9ohivjKlbu,79,78,79,50,37,26.4,0,0,21June2024,2024-08-23 19:19:00,28,2024-08-24T01:19:00Z,2024-08-24T01:20:01.582Z,2024-08-24T01:20:01.582Z,
FjIBHvIlri,78,77,78,50,38,26.4,1,0,21June2024,2024-08-23 19:24:00,25,2024-08-24T01:24:00Z,2024-08-24T01:25:02.106Z,2024-08-24T01:25:02.106Z,158.0
gLvmToRWWQ,78,78,78,50,37,26.4,1,0,21June2024,2024-08-23 19:29:00,19,2024-08-24T01:29:00Z,2024-08-24T01:30:01.726Z,2024-08-24T01:30:01.726Z,158.0
Kmu0QsaO8b,79,78,79,49,36,26.41,1,0,21June2024,2024-08-23 19:34:00,14,2024-08-24T01:34:00Z,2024-08-24T01:35:02.273Z,2024-08-24T01:35:02.273Z,158.0
N49gUGLO4R,78,77,78,50,38,26.4,0,0,21June2024,2024-08-23 19:39:00,11,2024-08-24T01:39:00Z,2024-08-24T01:40:02.024Z,2024-08-24T01:40:02.024Z,
8qxlmDTz2D,77,77,77,51,40,26.41,0,0,21June2024,2024-08-23 19:44:00,5,2024-08-24T01:44:00Z,2024-08-24T01:45:02.110Z,2024-08-24T01:45:02.110Z,
gmxKVeIf6T,76,75,76,51,42,26.4,1,0,21June2024,2024-08-23 19:49:00,0,2024-08-24T01:49:00Z,2024-08-24T01:50:01.516Z,2024-08-24T01:50:01.516Z,158.0
agJnRe1Bea,76,75,76,51,42,26.4,0,0,21June2024,2024-08-23 19:54:00,0,2024-08-24T01:54:00Z,2024-08-24T01:55:01.847Z,2024-08-24T01:55:01.847Z,
dcrPB1uzyE,76,75,76,51,41,26.4,0,0,21June2024,2024-08-23 19:59:00,0,2024-08-24T01:59:00Z,2024-08-24T02:00:02.452Z,2024-08-24T02:00:02.452Z,
HBvIFrzEug,75,75,75,52,44,26.41,2,0,21June2024,2024-08-23 20:04:00,0,2024-08-24T02:04:00Z,2024-08-24T02:05:01.972Z,2024-08-24T02:05:01.972Z,158.0
mFBR9gDCzH,74,74,74,52,45,26.42,0,0,21June2024,2024-08-23 20:09:00,0,2024-08-24T02:09:00Z,2024-08-24T02:10:01.663Z,2024-08-24T02:10:01.663Z,
Hx6dGWsRlT,74,74,74,51,44,26.42,1,0,21June2024,2024-08-23 20:14:00,0,2024-08-24T02:14:00Z,2024-08-24T02:15:02.302Z,2024-08-24T02:15:02.302Z,180.0
