objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
Ex3HGUULXR,92,86,92,22,8,26.4,112.0,2,0,21June2024,2024-08-17 17:59:00,58,2024-08-17T23:59:00Z,2024-08-18T00:00:02.404Z,2024-08-18T00:00:02.404Z
3ce0qtpgVX,91,86,91,22,8,26.4,112.0,1,0,21June2024,2024-08-17 18:04:00,58,2024-08-18T00:04:00Z,2024-08-18T00:05:01.449Z,2024-08-18T00:05:01.449Z
4g4IoGtABR,92,86,92,25,9,26.39,135.0,1,0,21June2024,2024-08-17 18:09:00,56,2024-08-18T00:09:00Z,2024-08-18T00:10:02.518Z,2024-08-18T00:10:02.518Z
aBHdwlKR1T,91,87,91,29,11,26.39,135.0,2,0,21June2024,2024-08-17 18:14:00,56,2024-08-18T00:14:00Z,2024-08-18T00:15:01.607Z,2024-08-18T00:15:01.607Z
CTXb3jKWuD,92,86,92,22,8,26.4,135.0,1,0,21June2024,2024-08-17 18:19:00,46,2024-08-18T00:19:00Z,2024-08-18T00:20:02.328Z,2024-08-18T00:20:02.328Z
IdG67BiEt5,92,86,92,22,8,26.4,,0,0,21June2024,2024-08-17 18:24:00,25,2024-08-18T00:24:00Z,2024-08-18T00:25:01.565Z,2024-08-18T00:25:01.565Z
vLRL0HIXjs,91,86,91,22,8,26.4,,0,0,21June2024,2024-08-17 18:29:00,23,2024-08-18T00:29:00Z,2024-08-18T00:30:02.135Z,2024-08-18T00:30:02.135Z
dE08D4luSh,91,86,91,24,9,26.4,,0,0,21June2024,2024-08-17 18:34:00,35,2024-08-18T00:34:00Z,2024-08-18T00:35:01.907Z,2024-08-18T00:35:01.907Z
UjXUvAl4wq,90,85,90,18,7,26.4,,0,0,21June2024,2024-08-17 18:39:00,62,2024-08-18T00:39:00Z,2024-08-18T00:40:02.445Z,2024-08-18T00:40:02.445Z
OV4Wr3tzrf,91,86,91,18,7,26.4,,0,0,21June2024,2024-08-17 18:44:00,72,2024-08-18T00:44:00Z,2024-08-18T00:45:01.476Z,2024-08-18T00:45:01.476Z
IaJoJdo94a,91,86,91,24,9,26.4,,0,0,21June2024,2024-08-17 18:49:00,63,2024-08-18T00:49:00Z,2024-08-18T00:50:02.152Z,2024-08-18T00:50:02.152Z
6HpuNS8MEo,91,86,91,22,8,26.4,,0,0,21June2024,2024-08-17 18:54:00,44,2024-08-18T00:54:00Z,2024-08-18T00:55:01.770Z,2024-08-18T00:55:01.770Z
UikVNeWAoR,91,86,91,18,7,26.4,135.0,1,0,21June2024,2024-08-17 18:59:00,21,2024-08-18T00:59:00Z,2024-08-18T01:00:02.460Z,2024-08-18T01:00:02.460Z
P2YpCiFS3m,91,86,91,24,9,26.4,135.0,1,0,21June2024,2024-08-17 19:04:00,12,2024-08-18T01:04:00Z,2024-08-18T01:05:01.882Z,2024-08-18T01:05:01.882Z
1eaGQej0ei,90,85,90,21,8,26.4,90.0,2,0,21June2024,2024-08-17 19:09:00,9,2024-08-18T01:09:00Z,2024-08-18T01:10:02.499Z,2024-08-18T01:10:02.499Z
6Uj2b250II,90,85,90,21,8,26.41,45.0,2,0,21June2024,2024-08-17 19:14:00,0,2024-08-18T01:14:00Z,2024-08-18T01:15:01.432Z,2024-08-18T01:15:01.432Z
moZLPzKGDg,90,85,90,24,9,26.43,292.0,9,0,21June2024,2024-08-17 19:19:00,0,2024-08-18T01:19:00Z,2024-08-18T01:20:01.467Z,2024-08-18T01:20:01.467Z
lUjEBkFHQC,90,85,90,26,10,26.44,292.0,10,0,21June2024,2024-08-17 19:24:00,0,2024-08-18T01:24:00Z,2024-08-18T01:25:01.692Z,2024-08-18T01:25:01.692Z
sspC97DDfw,88,84,88,27,11,26.43,292.0,11,0,21June2024,2024-08-17 19:29:00,0,2024-08-18T01:29:00Z,2024-08-18T01:30:02.285Z,2024-08-18T01:30:02.285Z
7nxRVcLtgo,87,83,87,26,11,26.43,292.0,15,0,21June2024,2024-08-17 19:34:00,0,2024-08-18T01:34:00Z,2024-08-18T01:35:01.452Z,2024-08-18T01:35:01.452Z
L8NHPAzxqM,87,83,87,26,11,26.42,270.0,14,0,21June2024,2024-08-17 19:39:00,0,2024-08-18T01:39:00Z,2024-08-18T01:40:02.006Z,2024-08-18T01:40:02.006Z
S0xE7BkgRi,88,83,88,19,8,26.43,270.0,13,0,21June2024,2024-08-17 19:44:00,0,2024-08-18T01:44:00Z,2024-08-18T01:45:02.113Z,2024-08-18T01:45:02.113Z
0AUYn6EKeQ,89,84,89,23,9,26.44,270.0,11,0,21June2024,2024-08-17 19:49:00,0,2024-08-18T01:49:00Z,2024-08-18T01:50:01.511Z,2024-08-18T01:50:01.511Z
c9SVzOwJ9W,88,84,88,25,10,26.44,270.0,9,0,21June2024,2024-08-17 19:54:00,0,2024-08-18T01:54:00Z,2024-08-18T01:55:01.837Z,2024-08-18T01:55:01.837Z
GtaRv9FGGN,88,83,88,24,10,26.44,270.0,9,0,21June2024,2024-08-17 19:59:00,0,2024-08-18T01:59:00Z,2024-08-18T02:00:02.442Z,2024-08-18T02:00:02.442Z
vf7pPAROSf,87,83,87,24,10,26.44,270.0,8,0,21June2024,2024-08-17 20:04:00,0,2024-08-18T02:04:00Z,2024-08-18T02:05:02.501Z,2024-08-18T02:05:02.501Z
Cr3U3MZwtQ,87,83,87,26,11,26.44,270.0,6,0,21June2024,2024-08-17 20:09:00,0,2024-08-18T02:09:00Z,2024-08-18T02:10:01.993Z,2024-08-18T02:10:01.993Z
EJB5PfGf4f,87,83,87,26,11,26.44,270.0,7,0,21June2024,2024-08-17 20:14:00,0,2024-08-18T02:14:00Z,2024-08-18T02:15:02.573Z,2024-08-18T02:15:02.573Z
AhQIHz6dwd,86,83,86,28,12,26.45,270.0,6,0,21June2024,2024-08-17 20:19:00,0,2024-08-18T02:19:00Z,2024-08-18T02:20:01.784Z,2024-08-18T02:20:01.784Z
