timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,fan
2024-07-01 15:12:48.006324,24.75,26.5,27.75,27.75,27.5,,26.0,26.0,,,,,False
2024-07-01 15:12:56.064490,26.0,27.0,27.5,27.75,27.0,25.0,14.5,26.25,,,,,False
2024-07-01 15:13:04.042819,26.0,26.5,27.25,27.25,26.0,25.25,25.75,26.25,,,,,False
2024-07-01 15:13:12.031478,25.0,26.75,27.25,27.5,26.0,25.25,25.5,26.25,,,,,False
2024-07-01 15:13:20.029601,26.0,26.5,27.25,27.25,25.0,24.25,25.5,26.25,,,,,False
2024-07-01 15:13:28.029531,26.0,26.5,27.25,26.75,26.0,25.25,25.25,26.25,,,,,True
2024-07-01 15:13:36.029319,26.0,26.5,27.0,26.75,26.25,25.5,25.5,26.25,,,,,True
2024-07-01 15:13:44.029258,26.0,25.0,27.25,27.0,26.75,25.25,25.5,26.25,,,,,True
2024-07-01 15:13:52.051223,26.0,26.75,27.25,27.25,26.75,25.25,26.0,26.25,,,,,True
2024-07-01 15:14:00.029351,26.0,26.75,27.25,27.25,27.0,25.25,26.0,26.25,,,,,True
2024-07-01 15:14:08.028765,26.0,26.75,27.25,27.25,27.0,23.75,25.75,26.0,,,,,True
2024-07-01 15:14:16.028927,26.25,26.75,27.25,27.25,27.0,24.75,25.75,26.0,,,,,True
2024-07-01 15:14:24.028853,26.0,26.75,27.25,27.25,27.0,24.75,25.75,26.25,,,,,True
2024-07-01 15:14:32.029345,26.25,27.0,27.25,27.5,27.25,25.0,26.0,26.25,,,,,True
2024-07-01 15:14:40.028630,26.0,27.0,27.25,27.5,27.0,25.0,26.0,26.0,,,,,True
2024-07-01 15:14:48.039937,26.0,24.25,27.25,27.5,27.25,25.25,26.0,26.0,,,,,True
2024-07-01 15:14:56.029000,24.75,27.0,27.25,27.5,27.25,25.25,26.25,26.25,,,,,True
2024-07-01 15:15:04.028640,26.25,27.0,27.25,27.5,27.25,25.25,26.25,26.25,,,,,True
2024-07-01 15:15:12.028654,26.0,27.0,27.25,27.5,27.25,25.5,26.5,26.25,,,,,True
2024-07-01 15:15:20.028754,26.25,27.0,27.25,27.5,27.25,25.75,26.5,26.25,,,,,True
2024-07-01 15:15:28.028776,26.25,27.0,27.25,27.5,27.5,25.5,26.5,26.5,,,,,True
