UnixTime,BattT,BFGcurrent
1624993247,39.03,-652.95
1624993262,40.03,-640.45
1624993277,40.77,-634.20
1624993292,41.52,-646.70
1624993307,41.77,-643.57
1624993322,42.27,-643.57
1624993327,42.52,-637.32
1624993337,42.52,-106.06
1624993352,42.02,-118.56
1624993367,41.77,-106.06
1624993382,41.52,-106.06
1624993397,41.52,-631.07
1624993412,41.77,-118.56
1624993427,41.52,-124.81
1624993442,41.52,-99.81
1624993457,41.52,-99.81
1624993472,41.27,-96.68
1624993487,41.27,-93.56
1624993502,41.27,-96.68
1624993517,41.27,-93.56
1624993532,41.27,-93.56
1624993547,41.27,-93.56
1624993562,41.27,-93.56
1624993577,41.27,-96.68
1624993592,41.27,-93.56
1624993607,41.27,-96.68
1624993622,41.27,-99.81
1624993637,41.27,-96.68
1624993652,41.52,-96.68
1624993667,41.52,-99.81
1624993682,41.52,-99.81
1624993697,41.52,-99.81
1624993712,41.52,-99.81
1624993727,41.52,-99.81
1624993742,41.52,-99.81
1624993757,41.52,-96.68
1624993772,41.52,-96.68
1624993787,41.52,-96.68
1624993802,41.52,-96.68
1624993817,41.52,-96.68
1624993832,41.77,-93.56
1624993847,41.77,-96.68
1624993862,41.77,-96.68
1624993877,41.77,-93.56
1624993892,41.77,-99.81
1624993907,41.77,-93.56
1624993922,41.77,-99.81
1624993937,42.02,-96.68
1624993952,42.02,-99.81
1624993967,42.02,-99.81
1624993982,42.02,-99.81
1624993997,42.02,-96.68
1624994012,42.02,-96.68
1624994027,42.02,-99.81
1624994042,42.27,-99.81
1624994057,42.27,-96.68
1624994072,42.27,-93.56
1624994087,42.27,-96.68
1624994102,42.27,-96.68
1624994117,42.27,-96.68
1624994132,42.52,-99.81
1624994147,42.52,-99.81
1624994162,42.52,-93.56
1624994177,42.52,-93.56
1624994192,42.52,-96.68
1624994207,42.52,-96.68
1624994222,42.52,-99.81
1624994237,42.77,-93.56
1624994252,42.77,-93.56
1624994267,42.77,-99.81
1624994282,42.77,-96.68
1624994297,42.77,-99.81
1624994312,42.77,-93.56
1624994327,42.77,-96.68
1624994342,42.77,-93.56
1624994357,43.02,-93.56
1624994372,43.02,-99.81
1624994387,43.02,-93.56
1624994402,43.02,-99.81
1624994417,43.02,-99.81
1624994432,43.02,-93.56
1624994447,44.01,-631.07
1624994462,44.76,-624.82
1624994477,44.76,-102.93
1624994492,44.51,-99.81
1624994507,44.51,-112.31
1624994522,44.26,-106.06
1624994537,45.01,-106.06
1624994552,44.76,-106.06
1624994567,44.51,-118.56
1624994582,44.51,-102.93
1624994597,44.26,-106.06
1624994612,44.26,-102.93
1624994627,44.26,-124.81
1624994642,44.26,-121.68
1624994657,44.26,-93.56
1624994672,44.26,-93.56
1624994687,44.26,-99.81
1624994702,44.26,-96.68
1624994717,44.26,-96.68
1624994732,44.26,-96.68
1624994747,44.26,-96.68
1624994762,44.26,-96.68
1624994777,44.26,-96.68
1624994792,44.26,-93.56
1624994807,44.26,-96.68
1624994822,44.26,-96.68
1624994837,44.26,-99.81
1624994852,44.26,-96.68
1624994867,44.26,-99.81
1624994882,44.26,-99.81
1624994897,44.26,-96.68
1624994912,44.26,-96.68
1624994927,44.26,-96.68
1624994942,44.26,-99.81
1624994957,44.51,-96.68
1624994972,44.51,-96.68
1624994987,44.51,-99.81
1624995002,44.51,-99.81
1624995017,44.51,-96.68
1624995032,44.51,-93.56
1624995047,44.51,-96.68
1624995062,44.51,-93.56
1624995077,44.51,-99.81
1624995092,44.51,-96.68
1624995107,44.51,-96.68
1624995122,44.51,-96.68
1624995137,44.51,-96.68
1624995152,44.51,-96.68
1624995167,44.51,-93.56
1624995182,44.76,-96.68
1624995197,44.76,-99.81
1624995212,44.76,-96.68
1624995227,44.76,-93.56
1624995242,44.76,-96.68
1624995257,44.76,-93.56
1624995272,44.76,-96.68
1624995287,44.76,-99.81
1624995302,44.76,-93.56
1624995317,44.76,-93.56
1624995332,44.76,-93.56
1624995347,44.76,-99.81
1624995362,45.01,-96.68
1624995377,45.01,-99.81
1624995392,45.01,-96.68
1624995407,45.01,-99.81
1624995422,45.01,-96.68
1624995437,45.01,-99.81
1624995452,45.01,-99.81
1624995467,45.01,-99.81
1624995482,45.01,-99.81
1624995497,45.26,-96.68
1624995512,45.26,-99.81
1624995527,45.26,-93.56
1624995542,45.26,-96.68
1624995557,45.26,-99.81
1624995572,45.26,-96.68
1624995587,45.26,-96.68
1624995602,45.26,-99.81
1624995617,45.26,-99.81
1624995632,45.26,-96.68
1624995647,46.25,-652.95
1624995662,47.25,-646.70
1624995677,47.50,-106.06
1624995692,47.00,-99.81
1624995707,47.00,-102.93
1624995722,46.75,-106.06
1624995737,46.75,-637.32
1624995752,47.00,-106.06
1624995767,46.75,-102.93
1624995782,46.75,-115.43
1624995797,46.50,-106.06
1624995812,46.50,-106.06
1624995827,46.50,-124.81
1624995842,46.50,-118.56
1624995857,46.50,-96.68
1624995872,46.50,-99.81
1624995887,46.50,-99.81
1624995902,46.50,-96.68
1624995917,46.50,-99.81
1624995932,46.25,-96.68
