UnixTime,BattT,BFGcurrent
1623679305,34.30,-606.07
1623679315,34.80,-624.82
1623679320,35.05,-96.68
1623679335,34.55,-102.93
1623679350,34.30,-627.95
1623679365,35.30,-590.45
1623679380,36.04,-606.07
1623679395,36.54,-615.45
1623679410,36.79,-602.95
1623679425,37.29,-646.70
1623679440,37.04,-102.93
1623679455,36.54,-99.81
1623679470,36.04,-99.81
1623679485,36.04,-115.43
1623679500,35.79,-118.56
1623679515,35.79,-121.68
1623679530,35.79,-90.43
1623679545,35.79,-96.68
1623679560,35.54,-93.56
1623679575,35.54,-90.43
1623679590,35.30,-93.56
1623679605,35.30,-96.68
1623679620,35.30,-90.43
1623679635,35.30,-90.43
1623679650,35.05,-96.68
1623679665,35.05,-90.43
1623679680,35.05,-93.56
1623679695,35.05,-96.68
1623679710,35.05,-90.43
1623679725,34.80,-93.56
1623679740,34.80,-90.43
1623679755,34.80,-93.56
1623679770,34.80,-93.56
1623679785,34.80,-93.56
1623679800,34.80,-90.43
1623679815,34.80,-93.56
1623679830,34.55,-93.56
1623679845,34.55,-93.56
1623679860,34.55,-96.68
1623679875,34.55,-93.56
1623679890,34.55,-96.68
1623679905,34.55,-90.43
1623679920,34.55,-93.56
1623679935,34.55,-93.56
1623679950,34.55,-90.43
1623679965,34.55,-93.56
1623679980,34.55,-93.56
1623679995,34.30,-90.43
1623680010,34.30,-96.68
1623680025,34.30,-93.56
1623680040,34.30,-90.43
1623680055,34.30,-90.43
1623680070,34.30,-90.43
1623680085,34.30,-96.68
1623680100,34.30,-90.43
1623680115,34.30,-93.56
1623680130,34.30,-90.43
1623680145,34.30,-90.43
1623680160,34.30,-90.43
1623680175,34.05,-93.56
1623680190,34.05,-93.56
1623680205,34.05,-93.56
1623680220,34.05,-90.43
1623680235,34.05,-90.43
1623680250,34.05,-90.43
1623680265,34.05,-96.68
1623680280,34.05,-96.68
1623680295,34.05,-90.43
1623680310,34.05,-93.56
1623680325,34.05,-93.56
1623680340,34.05,-93.56
1623680355,34.05,-96.68
1623680370,34.05,-96.68
1623680385,34.05,-90.43
1623680400,34.05,-93.56
1623680415,34.05,-90.43
1623680430,34.05,-96.68
1623680445,34.05,-93.56
1623680460,34.05,-93.56
1623680475,33.80,-93.56
1623680490,33.80,-93.56
1623680505,34.55,-618.57
1623680520,35.30,-643.57
1623680535,36.04,-631.07
1623680550,36.54,-637.32
1623680565,37.04,-634.20
1623680580,37.04,-99.81
1623680595,36.54,-99.81
1623680610,36.04,-102.93
1623680625,35.79,-102.93
1623680640,35.54,-109.18
1623680655,35.54,-102.93
1623680670,35.30,-99.81
1623680685,35.30,-115.43
1623680700,35.30,-118.56
1623680715,35.30,-118.56
1623680730,35.30,-93.56
1623680745,35.30,-93.56
1623680760,35.05,-93.56
1623680775,35.05,-96.68
1623680790,35.05,-93.56
1623680805,34.80,-93.56
1623680820,34.80,-93.56
1623680835,34.80,-90.43
1623680850,34.80,-90.43
1623680865,34.80,-93.56
1623680880,34.55,-90.43
1623680895,34.55,-90.43
1623680910,34.55,-96.68
1623680925,34.55,-93.56
1623680940,34.55,-90.43
1623680955,34.55,-93.56
1623680970,34.55,-96.68
1623680985,34.30,-96.68
1623681000,34.30,-90.43
1623681015,34.30,-90.43
1623681030,34.30,-93.56
1623681045,34.30,-93.56
1623681060,34.30,-93.56
