UnixTime,BattT,BFGcurrent
1623774106,31.06,-618.57
1623774121,32.31,-618.57
1623774136,32.81,-618.57
1623774151,33.30,-634.20
1623774166,34.05,-612.32
1623774175,34.05,-624.82
1623774181,34.30,-115.43
1623774196,33.80,-106.06
1623774211,33.55,-106.06
1623774226,33.30,-109.18
1623774241,33.05,-106.06
1623774256,33.05,-106.06
1623774271,33.05,-106.06
1623774286,33.05,-124.81
1623774301,33.05,-124.81
1623774316,33.05,-124.81
1623774331,33.05,-99.81
1623774346,33.05,-99.81
1623774361,33.05,-99.81
1623774376,33.05,-99.81
1623774391,33.05,-99.81
1623774406,33.05,-99.81
1623774421,33.05,-99.81
1623774436,33.05,-99.81
1623774451,33.05,-99.81
1623774466,33.05,-99.81
1623774481,33.30,-99.81
1623774496,33.30,-99.81
1623774511,33.30,-99.81
1623774526,33.30,-99.81
1623774541,33.30,-99.81
1623774556,33.30,-99.81
1623774571,33.30,-99.81
1623774586,33.30,-99.81
1623774601,33.55,-99.81
1623774616,33.55,-99.81
1623774631,33.55,-99.81
1623774646,33.55,-99.81
1623774661,33.55,-99.81
1623774676,33.55,-99.81
1623774691,33.55,-99.81
1623774706,33.80,-99.81
1623774721,33.80,-99.81
1623774736,33.80,-99.81
1623774751,33.80,-99.81
1623774766,33.80,-99.81
1623774781,33.80,-99.81
1623774796,34.05,-99.81
1623774811,34.05,-99.81
1623774826,34.05,-99.81
1623774841,34.05,-96.68
1623774856,34.05,-99.81
1623774871,34.05,-99.81
1623774886,34.30,-99.81
1623774901,34.30,-99.81
1623774916,34.30,-99.81
1623774931,34.30,-99.81
1623774946,34.30,-99.81
1623774961,34.30,-99.81
1623774976,34.55,-99.81
1623774991,34.55,-99.81
1623775006,34.55,-99.81
1623775021,34.55,-99.81
1623775036,34.55,-99.81
1623775051,34.55,-99.81
1623775066,34.55,-99.81
1623775081,34.80,-99.81
1623775096,34.80,-99.81
1623775111,34.80,-99.81
1623775126,34.80,-99.81
1623775141,34.80,-99.81
1623775156,34.80,-99.81
1623775171,35.05,-99.81
1623775186,35.05,-96.68
1623775201,35.05,-99.81
1623775216,35.05,-99.81
1623775231,35.05,-99.81
1623775246,35.05,-99.81
1623775261,35.05,-99.81
1623775276,35.30,-99.81
1623775291,35.05,-99.81
1623775306,36.04,-634.20
1623775321,36.54,-631.07
1623775336,37.54,-631.07
1623775351,38.04,-643.57
1623775366,38.28,-649.82
1623775381,39.03,-106.06
1623775396,38.28,-106.06
1623775411,37.79,-106.06
1623775426,37.54,-106.06
1623775441,37.54,-106.06
1623775456,37.29,-106.06
1623775471,37.29,-115.43
1623775486,37.04,-124.81
1623775501,37.04,-124.81
1623775516,37.29,-121.68
1623775531,37.29,-99.81
1623775546,37.04,-99.81
1623775561,37.04,-99.81
1623775576,37.04,-99.81
1623775591,37.04,-99.81
1623775606,37.04,-99.81
1623775621,37.04,-99.81
1623775636,36.79,-99.81
1623775651,36.79,-99.81
1623775666,36.79,-99.81
1623775681,36.79,-99.81
1623775696,36.79,-99.81
1623775711,36.79,-99.81
1623775726,36.79,-99.81
1623775741,36.79,-99.81
1623775756,36.79,-99.81
1623775771,36.79,-99.81
1623775786,36.79,-99.81
1623775801,36.79,-99.81
1623775816,36.79,-99.81
1623775831,36.79,-99.81
1623775846,36.79,-99.81
1623775861,36.79,-99.81
1623775876,36.79,-99.81
1623775891,36.79,-99.81
1623775906,36.79,-99.81
1623775921,36.79,-99.81
1623775936,36.79,-99.81
1623775951,36.79,-99.81
1623775966,37.04,-99.81
1623775981,37.04,-99.81
1623775996,37.04,-99.81
1623776011,37.04,-99.81
1623776026,37.04,-99.81
1623776041,37.04,-99.81
1623776056,37.04,-99.81
1623776071,37.04,-99.81
1623776086,37.04,-99.81
1623776101,37.04,-99.81
1623776116,37.04,-99.81
1623776131,37.04,-99.81
1623776146,37.04,-99.81
1623776161,37.04,-99.81
1623776176,37.04,-99.81
1623776191,37.04,-99.81
1623776206,37.04,-99.81
1623776221,37.04,-96.68
1623776236,37.04,-99.81
1623776251,37.29,-99.81
1623776266,37.29,-99.81
1623776281,37.29,-99.81
1623776296,37.29,-99.81
1623776311,37.29,-96.68
1623776326,37.29,-99.81
1623776341,37.29,-99.81
1623776356,37.29,-99.81
1623776371,37.29,-99.81
1623776386,37.29,-99.81
1623776401,37.29,-99.81
1623776416,37.29,-99.81
1623776431,37.29,-96.68
1623776446,37.29,-99.81
1623776461,37.29,-99.81
1623776476,37.29,-99.81
1623776491,37.54,-99.81
1623776506,38.28,-634.20
1623776521,39.03,-631.07
1623776536,39.53,-634.20
1623776551,40.03,-627.95
1623776566,40.53,-627.95
1623776581,41.27,-106.06
1623776596,40.53,-106.06
1623776611,40.03,-112.31
1623776626,39.78,-106.06
1623776641,39.53,-112.31
1623776656,39.28,-106.06
1623776671,39.28,-112.31
1623776686,39.28,-124.81
1623776701,39.03,-124.81
1623776716,39.03,-121.68
1623776731,39.03,-99.81
1623776746,39.03,-99.81
1623776761,39.03,-99.81
