UnixTime,BattT,BFGcurrent
1614614434,10.64,-643.57
1614614441,11.39,-618.57
1614614456,12.14,-634.20
1614614471,12.63,-646.70
1614614486,13.13,-646.70
1614614501,13.63,-681.08
1614614516,13.88,-649.82
1614614531,13.63,-127.93
1614614546,12.88,-124.81
1614614561,12.39,-134.18
1614614576,12.14,-127.93
1614614591,11.89,-131.06
1614614606,11.64,-124.81
1614614621,11.39,-118.56
1614614636,11.39,-118.56
1614614651,11.14,-118.56
1614614666,10.89,-115.43
1614614681,10.89,-118.56
1614614696,10.64,-118.56
1614614711,10.64,-115.43
1614614726,10.39,-115.43
1614614741,10.39,-115.43
1614614756,10.14,-115.43
1614614771,10.14,-115.43
1614614786,9.89,-115.43
1614614801,9.89,-118.56
1614614816,9.89,-118.56
1614614831,9.65,-118.56
1614614846,9.65,-118.56
1614614861,9.65,-118.56
1614614876,9.40,-118.56
1614614891,9.40,-115.43
1614614906,9.40,-115.43
1614614921,9.15,-118.56
1614614936,9.15,-118.56
1614614951,9.15,-118.56
1614614966,8.90,-118.56
1614614981,8.90,-118.56
1614614996,8.90,-115.43
1614615011,8.65,-118.56
1614615026,8.65,-118.56
1614615041,8.65,-115.43
1614615056,8.65,-115.43
1614615071,8.40,-121.68
1614615086,8.40,-118.56
1614615101,8.40,-118.56
1614615116,8.40,-118.56
1614615131,8.15,-118.56
1614615146,8.15,-118.56
1614615161,8.15,-118.56
1614615176,8.15,-115.43
1614615191,8.15,-118.56
1614615206,7.90,-118.56
1614615221,7.90,-118.56
1614615236,7.90,-115.43
1614615251,7.90,-115.43
1614615266,7.90,-118.56
1614615281,7.90,-118.56
1614615296,7.65,-118.56
1614615311,7.65,-118.56
1614615326,7.65,-115.43
1614615341,7.65,-115.43
1614615356,7.65,-118.56
1614615371,7.65,-115.43
1614615386,7.40,-115.43
1614615401,7.40,-118.56
1614615416,7.40,-118.56
1614615431,7.40,-118.56
1614615446,7.40,-118.56
1614615461,7.40,-118.56
1614615476,7.16,-115.43
1614615491,7.16,-115.43
1614615506,7.16,-115.43
1614615521,7.16,-118.56
1614615536,7.16,-118.56
1614615551,7.16,-118.56
1614615566,7.16,-118.56
1614615581,6.91,-118.56
1614615596,6.91,-115.43
1614615611,6.91,-118.56
1614615625,6.91,-115.43
1614615641,7.16,-627.95
1614615656,8.15,-643.57
1614615671,8.90,-665.45
1614615686,9.65,-615.45
1614615701,9.89,-615.45
1614615716,10.39,-131.06
1614615731,9.65,-127.93
1614615746,9.15,-127.93
1614615761,8.90,-127.93
1614615776,8.65,-134.18
1614615791,8.40,-131.06
1614615806,8.40,-124.81
1614615821,8.15,-115.43
1614615836,8.15,-118.56
1614615851,7.90,-115.43
1614615866,7.90,-115.43
1614615881,7.65,-118.56
1614615896,7.65,-121.68
1614615911,7.65,-115.43
1614615926,7.40,-115.43
1614615941,7.40,-115.43
1614615956,7.40,-115.43
1614615971,7.16,-115.43
1614615986,7.16,-118.56
1614616001,7.16,-118.56
1614616016,6.91,-118.56
1614616031,6.91,-118.56
1614616046,6.91,-115.43
1614616061,6.91,-115.43
1614616076,6.91,-118.56
1614616091,6.66,-118.56
1614616106,6.66,-118.56
1614616121,6.66,-115.43
1614616136,6.66,-115.43
1614616151,6.66,-118.56
1614616166,6.41,-115.43
1614616181,6.41,-118.56
1614616196,6.41,-118.56
1614616211,6.41,-115.43
1614616226,6.41,-118.56
1614616241,6.41,-118.56
1614616256,6.41,-118.56
1614616271,6.16,-115.43
1614616286,6.16,-115.43
1614616301,6.16,-115.43
1614616316,6.16,-115.43
1614616331,6.16,-118.56
1614616346,6.16,-115.43
1614616361,6.16,-118.56
1614616376,6.16,-118.56
1614616391,5.91,-115.43
1614616406,5.91,-115.43
1614616421,5.91,-115.43
1614616436,5.91,-118.56
1614616451,5.91,-118.56
1614616466,5.91,-115.43
1614616481,5.91,-115.43
1614616496,5.91,-115.43
1614616511,5.91,-115.43
1614616526,5.91,-118.56
1614616541,5.91,-115.43
1614616556,5.66,-115.43
1614616571,5.66,-118.56
1614616586,5.66,-118.56
1614616601,5.66,-118.56
1614616616,5.66,-118.56
1614616631,5.66,-118.56
1614616646,5.66,-115.43
1614616661,5.66,-118.56
1614616676,5.66,-118.56
1614616691,5.66,-118.56
1614616706,5.66,-115.43
1614616721,5.66,-115.43
1614616736,5.41,-115.43
1614616751,5.41,-115.43
1614616766,5.41,-118.56
1614616781,5.41,-118.56
1614616796,5.41,-118.56
1614616811,5.41,-115.43
1614616825,5.41,-115.43
1614616841,5.91,-599.82
1614616856,6.66,-618.57
1614616871,7.16,-646.70
1614616886,7.90,-615.45
1614616901,8.15,-643.57
1614616916,9.15,-134.18
1614616931,8.15,-124.81
1614616946,7.65,-131.06
1614616961,7.40,-124.81
1614616976,7.16,-137.31
1614616991,7.16,-131.06
1614617006,6.91,-127.93
1614617021,6.66,-118.56
1614617036,6.66,-118.56
1614617051,6.66,-118.56
1614617066,6.41,-118.56
1614617081,6.41,-118.56
1614617096,6.41,-115.43
1614617111,6.16,-118.56
1614617126,6.16,-118.56
1614617141,6.16,-118.56
1614617156,5.91,-118.56
1614617171,5.91,-118.56
1614617186,5.91,-115.43
1614617201,5.91,-115.43
1614617216,5.91,-118.56
1614617231,5.66,-115.43
1614617246,5.66,-115.43
1614617261,5.66,-118.56
1614617276,5.66,-118.56
1614617291,5.66,-121.68
1614617306,5.66,-115.43
1614617321,5.41,-118.56
1614617336,5.41,-115.43
1614617351,5.41,-115.43
1614617366,5.41,-118.56
1614617381,5.41,-115.43
1614617396,5.41,-115.43
1614617411,5.41,-115.43
1614617426,5.41,-115.43
1614617441,5.16,-118.56
1614617456,5.41,-115.43
1614617471,5.16,-118.56
1614617486,5.16,-118.56
1614617501,5.16,-118.56
1614617516,5.16,-115.43
1614617531,5.16,-118.56
1614617546,5.16,-115.43
1614617561,5.16,-118.56
1614617576,5.16,-115.43
1614617591,5.16,-118.56
1614617606,5.16,-118.56
1614617621,5.16,-118.56
1614617636,5.16,-118.56
1614617651,5.16,-115.43
1614617666,5.16,-115.43
1614617681,4.91,-115.43
1614617696,4.91,-115.43
1614617711,4.91,-121.68
1614617726,4.91,-118.56
1614617741,4.91,-115.43
1614617756,4.91,-115.43
1614617771,4.91,-121.68
1614617786,4.91,-115.43
1614617801,4.91,-115.43
1614617816,4.91,-115.43
1614617831,4.91,-118.56
1614617846,4.91,-115.43
1614617861,4.91,-118.56
1614617876,4.91,-115.43
1614617891,4.91,-118.56
1614617906,4.91,-115.43
1614617921,4.91,-121.68
1614617936,4.91,-118.56
1614617951,4.91,-121.68
1614617966,4.91,-118.56
1614617981,4.91,-118.56
1614617996,4.91,-115.43
1614618011,4.91,-115.43
1614618026,4.91,-115.43
1614618041,5.41,-643.57
1614618056,6.41,-646.70
1614618071,6.91,-637.32
1614618086,7.40,-615.45
1614618101,7.65,-634.20
1614618116,8.65,-137.31
1614618131,7.90,-127.93
1614618146,7.40,-127.93
1614618161,7.16,-124.81
1614618176,6.91,-131.06
1614618191,6.66,-127.93
1614618206,6.41,-127.93
1614618221,6.41,-143.56
1614618236,6.41,-115.43
1614618251,6.16,-115.43
1614618266,6.16,-118.56
1614618281,6.16,-118.56
1614618296,5.91,-118.56
1614618311,5.91,-115.43
1614618326,5.91,-118.56
1614618341,5.91,-118.56
1614618356,5.66,-118.56
1614618371,5.66,-118.56
1614618386,5.66,-115.43
1614618401,5.66,-118.56
1614618416,5.66,-115.43
1614618431,5.66,-115.43
1614618446,5.41,-118.56
1614618461,5.41,-115.43
1614618476,5.41,-118.56
1614618491,5.41,-121.68
1614618506,5.41,-115.43
1614618521,5.41,-115.43
1614618536,5.41,-115.43
1614618551,5.41,-118.56
1614618566,5.41,-115.43
1614618581,5.41,-118.56
1614618596,5.16,-118.56
1614618611,5.16,-115.43
