UnixTime,BattT,BFGcurrent
1689552017,38.53,-131.06
1689552031,38.53,-131.06
1689552046,38.53,-140.43
1689552061,38.53,-159.18
1689552076,38.53,-140.43
1689552091,38.53,-140.43
1689552106,38.53,-127.93
1689552121,38.53,-127.93
1689552136,38.53,-131.06
1689552151,39.53,3994.07
1689552166,40.77,3981.57
1689552181,42.02,3994.07
1689552196,42.02,-143.56
1689552211,41.52,-127.93
1689552226,41.27,-143.56
1689552241,41.02,-140.43
1689552256,40.53,-131.06
1689552271,40.53,-140.43
1689552286,40.28,-131.06
1689552301,40.03,-127.93
1689552316,39.78,-143.56
1689552331,39.78,-131.06
1689552346,39.53,-143.56
1689552361,39.53,-127.93
1689552376,39.28,-127.93
1689552391,39.28,-140.43
1689552406,39.03,-131.06
1689552421,39.03,-131.06
1689552436,39.03,-131.06
1689552451,38.78,-127.93
1689552466,38.78,-134.18
1689552481,38.78,-143.56
1689552496,38.78,-140.43
1689552511,38.53,-131.06
1689552526,38.53,-127.93
1689552541,38.53,-131.06
1689552556,38.53,-131.06
1689552571,38.53,-143.56
1689552586,38.28,-131.06
1689552601,38.28,-140.43
1689552616,38.28,-127.93
1689552631,38.28,-127.93
1689552646,38.28,-140.43
1689552661,38.28,-131.06
1689552676,38.04,-140.43
1689552691,38.04,-131.06
1689552706,38.04,-137.31
1689552721,38.04,-140.43
1689552736,38.04,-127.93
1689552751,38.04,-143.56
1689552766,38.04,-140.43
1689552781,38.04,-131.06
1689552796,37.79,-143.56
1689552811,37.79,-143.56
1689552826,37.79,-131.06
1689552841,37.79,-140.43
1689552856,37.79,-131.06
1689552871,37.79,-143.56
1689552886,37.79,-131.06
1689552901,37.79,-127.93
1689552916,37.79,-143.56
1689552931,37.79,-127.93
1689552946,38.28,3890.94
1689552961,39.53,3984.69
1689552976,40.77,3978.44
1689552991,41.52,-127.93
1689553006,41.02,-127.93
1689553021,40.53,-137.31
1689553036,40.28,-140.43
1689553051,40.03,-127.93
1689553066,39.78,-140.43
1689553081,39.53,-127.93
1689553096,39.28,-140.43
1689553111,39.28,-140.43
1689553126,39.03,-143.56
1689553141,38.78,-140.43
1689553156,38.78,-131.06
1689553171,38.78,-127.93
1689553186,38.53,-140.43
1689553201,38.53,-134.18
1689553216,38.28,-143.56
1689553231,38.28,-127.93
1689553246,38.28,-127.93
1689553261,38.28,-159.18
1689553276,38.28,-143.56
1689553291,38.04,-137.31
1689553306,38.04,-131.06
1689553321,38.04,-143.56
1689553336,38.04,-131.06
1689553351,37.79,-131.06
1689553366,37.79,-140.43
1689553381,37.79,-140.43
1689553396,37.79,-127.93
1689553411,37.79,-131.06
1689553426,37.54,-131.06
1689553441,37.54,-131.06
1689553456,37.54,-137.31
1689553471,37.54,-131.06
1689553486,37.54,-131.06
1689553501,37.54,-127.93
1689553516,37.29,-131.06
1689553531,37.29,-131.06
1689553546,37.29,-131.06
1689553561,37.29,-143.56
1689553576,37.29,-131.06
1689553591,37.29,-131.06
1689553606,37.29,-127.93
1689553621,37.04,-131.06
1689553636,37.04,-143.56
1689553651,37.04,-134.18
1689553666,37.04,-140.43
1689553681,37.04,-131.06
1689553696,37.04,-127.93
1689553711,37.04,-143.56
1689553726,37.04,-127.93
1689553741,37.04,3875.31
1689553756,38.28,3990.94
1689553771,39.53,3994.07
1689553786,40.77,3990.94
1689553801,40.53,-127.93
1689553816,40.03,-127.93
1689553831,39.53,-131.06
1689553846,39.28,-137.31
1689553861,39.03,-143.56
1689553876,38.78,-127.93
1689553891,38.78,-140.43
1689553906,38.53,-127.93
1689553921,38.28,-127.93
1689553936,38.28,-127.93
1689553951,38.04,-131.06
1689553966,38.04,-140.43
1689553981,37.79,-131.06
1689553996,37.79,-143.56
1689554011,37.79,-127.93
1689554026,37.54,-131.06
1689554041,37.54,-140.43
1689554056,37.54,-127.93
1689554071,37.29,-140.43
1689554086,37.29,-127.93
1689554101,37.29,-127.93
1689554116,37.04,-127.93
1689554131,37.04,-131.06
1689554146,37.04,-131.06
1689554161,37.04,-131.06
1689554176,37.04,-137.31
1689554191,36.79,-127.93
1689554206,36.79,-140.43
1689554221,36.79,-131.06
1689554236,36.79,-143.56
1689554251,36.79,-131.06
1689554266,36.79,-131.06
1689554281,36.54,-131.06
1689554296,36.54,-131.06
1689554311,36.54,-140.43
1689554326,36.54,-140.43
1689554341,36.54,-134.18
1689554356,36.54,-127.93
1689554371,36.54,-131.06
1689554386,36.54,-131.06
1689554401,36.29,-127.93
1689554416,36.29,-140.43
1689554431,36.29,-127.93
1689554446,36.29,-131.06
1689554461,36.29,-159.18
1689554476,36.29,-134.18
1689554491,36.29,-140.43
1689554506,36.29,-134.18
1689554521,36.29,-127.93
1689554536,36.29,-131.06
1689554551,37.04,3994.07
1689554566,38.28,3994.07
1689554581,39.53,3994.07
1689554596,40.03,-131.06
1689554611,39.53,-127.93
1689554626,39.03,-127.93
1689554641,38.78,-143.56
1689554656,38.53,-131.06
1689554671,38.28,-127.93
1689554686,38.04,-131.06
1689554701,37.79,-131.06
1689554716,37.79,-131.06
1689554731,37.54,-127.93
1689554746,37.29,-140.43
1689554761,37.29,-143.56
1689554776,37.04,-124.81
1689554791,37.04,-140.43
1689554806,37.04,-127.93
1689554821,36.79,-131.06
1689554836,36.79,-140.43
1689554851,36.79,-131.06
1689554866,36.54,-131.06
1689554881,36.54,-140.43
1689554896,36.54,-127.93
1689554911,36.29,-127.93
1689554926,36.29,-127.93
1689554941,36.29,-131.06
1689554956,36.29,-127.93
1689554971,36.29,-127.93
1689554986,36.04,-140.43
1689555001,36.04,-131.06
1689555016,36.04,-127.93
1689555031,36.04,-143.56
1689555046,36.04,-134.18
1689555061,35.79,-143.56
1689555076,35.79,-131.06
1689555091,35.79,-143.56
1689555106,35.79,-131.06
1689555121,35.79,-143.56
1689555136,35.79,-131.06
1689555151,35.79,-140.43
1689555166,35.79,-131.06
1689555181,35.54,-127.93
1689555196,35.54,-140.43
1689555211,35.54,-127.93
1689555226,35.54,-143.56
1689555241,35.54,-131.06
1689555256,35.54,-131.06
1689555271,35.54,-127.93
1689555286,35.54,-131.06
1689555301,35.54,-127.93
1689555316,35.30,-131.06
1689555331,35.30,-131.06
1689555346,35.79,3890.94
1689555361,37.04,3990.94
1689555376,38.28,3990.94
1689555391,39.28,-131.06
1689555406,38.78,-137.31
1689555421,38.28,-127.93
1689555436,38.04,-140.43
1689555451,37.79,-127.93
1689555466,37.54,-131.06
1689555481,37.29,-143.56
1689555496,37.04,-127.93
1689555511,37.04,-131.06
1689555526,36.79,-127.93
1689555541,36.54,-127.93
1689555556,36.54,-131.06
1689555571,36.29,-140.43
1689555586,36.29,-131.06
1689555601,36.29,-143.56
1689555616,36.04,-131.06
1689555631,36.04,-131.06
1689555646,36.04,-124.81
1689555661,35.79,-156.06
1689555676,35.79,-140.43
1689555691,35.79,-127.93
1689555706,35.79,-140.43
1689555721,35.79,-127.93
1689555736,35.54,-131.06
1689555751,35.54,-143.56
1689555766,35.54,-127.93
1689555781,35.54,-127.93
1689555796,35.54,-140.43
1689555811,35.30,-131.06
1689555826,35.30,-131.06
1689555841,35.30,-131.06
1689555856,35.30,-131.06
1689555871,35.30,-143.56
1689555886,35.30,-127.93
1689555901,35.05,-140.43
1689555916,35.05,-127.93
1689555931,35.05,-137.31
1689555946,35.05,-131.06
1689555961,35.05,-127.93
1689555976,35.05,-143.56
1689555991,35.05,-140.43
1689556006,35.05,-131.06
1689556021,34.80,-127.93
1689556036,34.80,-127.93
1689556051,34.80,-140.43
1689556066,34.80,-131.06
1689556081,34.80,-131.06
1689556096,34.80,-127.93
1689556111,34.80,-143.56
1689556126,34.80,-143.56
1689556141,34.80,-143.56
1689556156,35.79,3994.07
1689556171,37.29,3981.57
1689556186,38.28,3994.07
1689556201,38.28,-131.06
1689556216,37.79,-131.06
1689556231,37.54,-140.43
1689556246,37.29,-131.06
1689556261,37.04,-143.56
1689556276,36.79,-127.93
1689556291,36.54,-131.06
1689556306,36.29,-131.06
1689556321,36.29,-140.43
1689556336,36.04,-127.93
1689556351,35.79,-131.06
1689556366,35.79,-137.31
1689556381,35.79,-127.93
1689556396,35.54,-140.43
1689556411,35.54,-137.31
1689556426,35.30,-131.06
1689556441,35.30,-131.06
1689556456,35.30,-131.06
1689556471,35.30,-143.56
1689556486,35.05,-140.43
1689556501,35.05,-131.06
1689556516,35.05,-131.06
1689556531,35.05,-140.43
1689556546,34.80,-143.56
1689556561,34.80,-131.06
1689556576,34.80,-140.43
1689556591,34.80,-131.06
1689556606,34.80,-137.31
1689556621,34.80,-143.56
1689556636,34.55,-127.93
1689556651,34.55,-143.56
1689556666,34.55,-140.43
1689556681,34.55,-134.18
1689556696,34.55,-127.93
1689556711,34.55,-127.93
1689556726,34.55,-140.43
1689556741,34.30,-140.43
1689556756,34.30,-131.06
1689556771,34.30,-143.56
1689556786,34.30,-127.93
1689556801,34.30,-131.06
1689556816,34.30,-137.31
1689556831,34.30,-127.93
1689556846,34.30,-131.06
1689556861,34.30,-156.06
1689556876,34.30,-131.06
1689556891,34.30,-127.93
1689556906,34.30,-140.43
1689556921,34.30,-134.18
1689556936,34.30,-131.06
1689556951,34.80,3881.56
1689556966,36.29,3994.07
1689556981,37.29,3981.57
1689556996,38.04,-127.93
1689557011,37.54,-131.06
1689557026,37.04,-140.43
1689557041,36.79,-127.93
1689557056,36.54,-137.31
1689557071,36.29,-131.06
