UnixTime,BattT,BFGcurrent
1628010046,31.31,-659.20
1628010061,32.31,-643.57
1628010076,33.30,-659.20
1628010091,33.80,-674.83
1628010106,34.30,-646.70
1628010112,34.80,-624.82
1628010121,34.80,-93.56
1628010136,34.30,-93.56
1628010151,33.80,-90.43
1628010166,33.80,-93.56
1628010181,33.55,-90.43
1628010196,33.55,-90.43
1628010211,33.55,-96.68
1628010226,33.30,-106.06
1628010241,33.55,-106.06
1628010256,33.55,-87.31
1628010271,33.55,-84.18
1628010286,33.55,-87.31
1628010301,33.55,-84.18
1628010316,33.55,-84.18
1628010331,33.55,-87.31
1628010346,33.55,-84.18
1628010361,33.55,-87.31
1628010376,33.55,-84.18
1628010391,33.80,-84.18
1628010406,33.80,-87.31
1628010421,33.80,-84.18
1628010436,33.80,-84.18
1628010451,33.80,-84.18
1628010466,34.05,-87.31
1628010481,34.05,-87.31
1628010496,34.05,-84.18
1628010511,34.05,-84.18
1628010526,34.30,-87.31
1628010541,34.30,-87.31
1628010556,34.30,-87.31
1628010571,34.30,-87.31
1628010586,34.30,-87.31
1628010601,34.55,-87.31
1628010616,34.55,-84.18
1628010631,34.55,-84.18
1628010646,34.55,-84.18
1628010661,34.80,-84.18
1628010676,34.80,-84.18
1628010691,34.80,-90.43
1628010706,34.80,-87.31
1628010721,35.05,-84.18
1628010736,35.05,-90.43
1628010751,35.05,-84.18
1628010766,35.05,-84.18
1628010781,35.30,-87.31
1628010796,35.30,-87.31
1628010811,35.30,-87.31
1628010826,35.30,-87.31
1628010841,35.54,-90.43
1628010856,35.54,-87.31
1628010871,35.54,-87.31
1628010886,35.54,-84.18
1628010901,35.79,-87.31
1628010916,35.79,-84.18
1628010931,35.79,-87.31
1628010946,35.79,-84.18
1628010961,36.04,-87.31
1628010976,36.04,-90.43
1628010991,36.04,-84.18
1628011006,36.29,-87.31
1628011021,36.29,-84.18
1628011036,36.29,-84.18
1628011051,36.29,-87.31
1628011066,36.54,-87.31
1628011081,36.54,-87.31
1628011096,36.54,-84.18
1628011111,36.54,-84.18
